model,rank_corr,rank_corr_t,spread_bp,spread_t,D1_bp,D10_bp,spread_sharpe,long_sharpe,short_sharpe,n_days,n_spread_days,delta_rank_corr_mean,delta_rank_corr_se,delta_rank_corr_t,delta_rank_corr_p,delta_rank_corr_ci_low,delta_rank_corr_ci_high,delta_rank_corr_n,delta_rank_corr_p_bonferroni,delta_spread_bp_mean,delta_spread_bp_se,delta_spread_bp_t,delta_spread_bp_p,delta_spread_bp_ci_low,delta_spread_bp_ci_high,delta_spread_bp_n,delta_spread_bp_p_bonferroni
core_rank,0.027659167741930776,17.45195601326799,17.755348824772767,6.439593964693482,-19.62343831356227,-1.8680894887895063,2.2034807399981764,-0.4935843446369523,3.309941910282337,2768,2768,0.0,0.0,0.0,1.0,0.0,0.0,2768,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2768,1.0
all_ols,0.02718210303329317,19.84647374477199,21.181619326527912,7.611524394013735,-20.538573427729776,0.6430458987981389,2.5923023382255534,0.15603334345030903,3.408371502287935,2768,2768,-0.0004770647086376,0.0010701553730325577,-0.4457901353947472,0.655748848132458,-0.0025745306976434398,0.0016204012803682395,2768,1.0,3.42627050175515,1.5747744792198133,2.175721379135265,0.02957610058994337,0.33976923871149767,6.512771764798805,2768,0.14788050294971686
textcore_ols,0.034056995295920274,26.02341953653877,19.95060672562428,7.347783723653583,-18.708592520636802,1.2420142049874758,2.4172490605528507,0.4268013535349482,2.7415450515627495,2768,2768,0.0063978275539894975,0.001176691028046868,5.437134644095094,5.414422292637391e-08,0.004091555518086227,0.00870409958989277,2768,2.707211146318696e-07,2.195257900851517,2.584528612297266,0.8493842515058319,0.3956675133768267,-2.8703250962644065,7.260840897967445,2768,1.0
textcore_ridge_rc,0.036169288202182966,25.054884346649466,20.760575330028317,7.521211686640177,-19.35084294079477,1.4097323892335445,2.471002088071729,0.49446030054198065,2.793040180411933,2768,2768,0.008510120460252197,0.0010538461925998078,8.075296490143383,6.731288550368653e-16,0.0064446198775119125,0.010575621042992481,2768,3.3656442751843264e-15,3.0052265052555516,2.6176200839701482,1.148075889109745,0.2509372366467174,-2.1252145845346493,8.135667595045755,2768,1.0
textcore_enet_rc,0.036189721665197655,24.563350642292253,21.66684598012352,8.038478913863658,-19.682751078251016,1.9840949018725025,2.754531788625605,0.6547939909724785,3.1609764751508127,2768,2768,0.008530553923266878,0.0010352465960477772,8.240117819110598,1.7204115609363428e-16,0.006501507879895551,0.010559599966638208,2768,8.602057804681714e-16,3.911497155350755,2.0721547969351506,1.8876471782591284,0.0590733319853771,-0.14985161703405048,7.972845927735559,2768,0.2953666599268855
textcore_lasso_rc,0.034762496742712846,24.588396155932102,24.06113990910872,8.172351309394328,-21.463136447445166,2.598003461663556,2.8063663643732553,0.7911698369171819,3.0968541143334853,2768,2768,0.007103329000782073,0.0010553608766642182,6.730710942435404,1.6883608320239035e-11,0.005034859691827589,0.00917179830973656,2768,8.441804160119517e-11,6.305791084335958,2.6844710110896934,2.348988332631046,0.018824496663201906,1.0443245850583338,11.56725758361358,2768,0.09412248331600953
