model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,basis,interaction_term,n_features,representation,transform,penalty_grid,pca_grid,history_policy,refit_policy,target,subgroup,stock_days
li1_ols_additive_cst_full_joint_raw_fixed504_union,ols,characteristics_textcore,504,cap_spread_bp,58.78404066448841,8.171284962427881,7.193977561030044,6.293054246514783e-13,42.76861643071604,74.79946489826078,2266,2266,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,size_tercile_1,1010848
li1_ridge_additive_cst_full_joint_raw_fixed504_union,ridge,characteristics_textcore,504,rank_ic,0.08834992702145304,0.0024195871700772036,36.514463340716915,6.53767906268882e-292,0.08360762331064653,0.09309223073225956,2266,2266,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,size_tercile_1,1010848
li1_ridge_additive_cst_full_joint_raw_fixed504_union,ridge,characteristics_textcore,504,ew_spread_bp,50.85324931986911,7.616688094180471,6.676556620287959,2.4462158388223834e-11,35.92481497380036,65.78168366593785,2266,2266,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,size_tercile_1,1010848
li1_ridge_additive_cst_full_joint_raw_fixed504_union,ridge,characteristics_textcore,504,cap_spread_bp,43.782979981033506,8.515595301053349,5.141505488831498,2.7254568932475086e-07,27.092719884050425,60.47324007801659,2266,2266,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,size_tercile_1,1010848
li1_ols_additive_c_joint_raw_fixed504_union,ols,characteristics,504,rank_ic,0.032809123148741334,0.0034527901335519944,9.50220600722974,2.0549017336351248e-21,0.02604177884080418,0.039576467456678484,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,size_tercile_2,1011055
li1_ols_additive_c_joint_raw_fixed504_union,ols,characteristics,504,ew_spread_bp,13.788209859300313,5.113026844097446,2.696682470035851,0.007003401602804194,3.7668613928828254,23.809558325717802,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,size_tercile_2,1011055
li1_ols_additive_c_joint_raw_fixed504_union,ols,characteristics,504,cap_spread_bp,13.189720176265748,5.119133628455379,2.576553208720505,0.009979084542441567,3.1564026324453582,23.22303772008614,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,size_tercile_2,1011055
li1_ridge_additive_c_joint_raw_fixed504_union,ridge,characteristics,504,rank_ic,0.033488751590255834,0.003523588382649276,9.504161086226732,2.0166690148003718e-21,0.026582645263919513,0.040394857916592156,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,size_tercile_2,1011055
li1_ridge_additive_c_joint_raw_fixed504_union,ridge,characteristics,504,ew_spread_bp,16.249706810205566,5.350260997496515,3.0371802081821992,0.0023880264314438747,5.763387947223052,26.73602567318808,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,size_tercile_2,1011055
li1_ridge_additive_c_joint_raw_fixed504_union,ridge,characteristics,504,cap_spread_bp,16.144189439205846,5.373407175326413,3.0044604684596883,0.0026605233021909864,5.6125049012969725,26.67587397711472,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,size_tercile_2,1011055
li1_enet_additive_c_joint_raw_fixed504_union,enet,characteristics,504,rank_ic,0.03354140926523033,0.003492448075649513,9.603982232145977,7.691401820962787e-22,0.026696336819081068,0.040386481711379596,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,size_tercile_2,1011055
li1_enet_additive_c_joint_raw_fixed504_union,enet,characteristics,504,ew_spread_bp,12.61389042350685,5.184000075492613,2.4332349999644256,0.014964584992565817,2.453436979688407,22.774343867325292,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,size_tercile_2,1011055
li1_enet_additive_c_joint_raw_fixed504_union,enet,characteristics,504,cap_spread_bp,12.413524554819974,5.212055510202651,2.38169461751134,0.01723318195726293,2.1980834693992417,22.628965640240708,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,size_tercile_2,1011055
li1_ols_additive_cs_joint_raw_fixed504_union,ols,characteristics_core,504,rank_ic,0.03389961082747603,0.0034183616071375043,9.916917729445002,3.5144151415401024e-23,0.027199745191352064,0.040599476463599994,2266,2266,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,size_tercile_2,1011055
li1_ols_additive_cs_joint_raw_fixed504_union,ols,characteristics_core,504,ew_spread_bp,14.74547093277353,5.005486608681334,2.9458616285576555,0.0032205643660747863,4.934897454660581,24.55604441088648,2266,2266,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,size_tercile_2,1011055
li1_ols_additive_cs_joint_raw_fixed504_union,ols,characteristics_core,504,cap_spread_bp,13.428577113007256,4.994407912002165,2.688722537207416,0.007172600952329038,3.639717481381121,23.21743674463339,2266,2266,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,size_tercile_2,1011055
li1_ridge_additive_cs_joint_raw_fixed504_union,ridge,characteristics_core,504,rank_ic,0.03478134416390794,0.0035096285277553567,9.910263689973181,3.7565340527772876e-23,0.027902598650393108,0.041660089677422775,2266,2266,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,size_tercile_2,1011055
li1_ridge_additive_cs_joint_raw_fixed504_union,ridge,characteristics_core,504,ew_spread_bp,15.896935604415802,5.3498031847091685,2.9714991478289323,0.002963496963725704,5.41151403800815,26.382357170823454,2266,2266,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,size_tercile_2,1011055
li1_ridge_additive_cs_joint_raw_fixed504_union,ridge,characteristics_core,504,cap_spread_bp,15.626237316530565,5.358670819273235,2.916065913272474,0.0035447560529691504,5.1234355057492795,26.12903912731185,2266,2266,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,size_tercile_2,1011055
li1_enet_additive_cs_joint_raw_fixed504_union,enet,characteristics_core,504,rank_ic,0.03458262203845736,0.003468863801869854,9.969437837200749,2.0739938305004077e-23,0.027783773919517765,0.04138147015739696,2266,2266,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,size_tercile_2,1011055
li1_enet_additive_cs_joint_raw_fixed504_union,enet,characteristics_core,504,ew_spread_bp,13.96357138105906,5.157045367172496,2.7076689047463245,0.006775758241426341,3.8559481947618277,24.071194567356294,2266,2266,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,size_tercile_2,1011055
li1_enet_additive_cs_joint_raw_fixed504_union,enet,characteristics_core,504,cap_spread_bp,14.186984694598356,5.143705459498478,2.7581254032344256,0.00581338915205818,4.10550724689929,24.268462142297423,2266,2266,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,size_tercile_2,1011055
li1_ols_additive_cst_full_joint_raw_fixed504_union,ols,characteristics_textcore,504,rank_ic,0.030095222491545972,0.002963545722060721,10.155140265768893,3.143578218016609e-24,0.02428677960976921,0.035903665373322735,2266,2266,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,size_tercile_2,1011055
li1_ols_additive_cst_full_joint_raw_fixed504_union,ols,characteristics_textcore,504,ew_spread_bp,10.717428078808771,4.685392192341057,2.287413227931685,0.022171714920256873,1.5342281283751333,19.90062802924241,2266,2266,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,size_tercile_2,1011055
li1_ols_additive_cst_full_joint_raw_fixed504_union,ols,characteristics_textcore,504,cap_spread_bp,8.537639444064979,4.698716083070411,1.8170153916782295,0.06921475661081404,-0.6716748523321403,17.746953740462097,2266,2266,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,size_tercile_2,1011055
li1_ridge_additive_cst_full_joint_raw_fixed504_union,ridge,characteristics_textcore,504,rank_ic,0.03194055329082921,0.003272582309748991,9.760045819375915,1.6707971800733142e-22,0.025526409827278287,0.038354696754380135,2266,2266,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,size_tercile_2,1011055
li1_ridge_additive_cst_full_joint_raw_fixed504_union,ridge,characteristics_textcore,504,ew_spread_bp,12.981497305291292,5.056666242028471,2.567204692569109,0.010252207293915487,3.070613589075988,22.892381021506594,2266,2266,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,size_tercile_2,1011055
li1_ridge_additive_cst_full_joint_raw_fixed504_union,ridge,characteristics_textcore,504,cap_spread_bp,12.179916471729042,5.071430155046224,2.4016729205290663,0.0163202935633784,2.24009601772806,22.119736925730024,2266,2266,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,size_tercile_2,1011055
li1_ols_additive_c_joint_raw_fixed504_union,ols,characteristics,504,rank_ic,0.02234309647582502,0.004046615785919716,5.521427696093187,3.3625618015288544e-08,0.014411875276151133,0.03027431767549891,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,size_tercile_3,1011177
li1_ols_additive_c_joint_raw_fixed504_union,ols,characteristics,504,ew_spread_bp,4.567786020622335,3.638038278282456,1.2555629356321174,0.2092744765823482,-2.562637979189386,11.698210020434056,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,size_tercile_3,1011177
li1_ols_additive_c_joint_raw_fixed504_union,ols,characteristics,504,cap_spread_bp,5.425075514077032,3.6141268293472373,1.5010750231631682,0.1333361581602293,-1.6584829070034912,12.508633935157555,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,size_tercile_3,1011177
li1_ridge_additive_c_joint_raw_fixed504_union,ridge,characteristics,504,rank_ic,0.022584556993477015,0.004361333885310111,5.178360012643505,2.2384494672801084e-07,0.014036499653715053,0.031132614333238974,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,size_tercile_3,1011177
li1_ridge_additive_c_joint_raw_fixed504_union,ridge,characteristics,504,ew_spread_bp,3.0971508396035654,4.01489423900651,0.7714152989419615,0.44046080977064106,-4.771897270586542,10.966198949793672,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,size_tercile_3,1011177
li1_ridge_additive_c_joint_raw_fixed504_union,ridge,characteristics,504,cap_spread_bp,4.647218653719136,4.054612120008028,1.1461561590039184,0.25173054421046204,-3.2996750727761945,12.594112380214467,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,size_tercile_3,1011177
li1_enet_additive_c_joint_raw_fixed504_union,enet,characteristics,504,rank_ic,0.021546768882461403,0.004328866348664685,4.977462260785179,6.442333771282791e-07,0.013062346745191213,0.030031191019731594,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,size_tercile_3,1011177
li1_enet_additive_c_joint_raw_fixed504_union,enet,characteristics,504,ew_spread_bp,3.5989384866146406,3.82437983517001,0.9410515277582653,0.3466784538862471,-3.896708253519807,11.09458522674909,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,size_tercile_3,1011177
li1_enet_additive_c_joint_raw_fixed504_union,enet,characteristics,504,cap_spread_bp,4.792881487019938,3.916556952605404,1.2237487019897868,0.2210470412356106,-2.883429083486601,12.469192057526477,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,size_tercile_3,1011177
li1_ols_additive_cs_joint_raw_fixed504_union,ols,characteristics_core,504,rank_ic,0.02166927249935419,0.0038098609405096246,5.687680689063577,1.2877631930310697e-08,0.014202082269849429,0.02913646272885895,2266,2266,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,size_tercile_3,1011177
li1_ols_additive_cs_joint_raw_fixed504_union,ols,characteristics_core,504,ew_spread_bp,5.376509919406503,3.513880560553012,1.5300775956256043,0.12599752316590637,-1.5105694252528163,12.263589264065823,2266,2266,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,size_tercile_3,1011177
li1_ols_additive_cs_joint_raw_fixed504_union,ols,characteristics_core,504,cap_spread_bp,6.751853962513392,3.298195446616554,2.0471357964670545,0.04064475314002768,0.28750967317094744,13.216198251855836,2266,2266,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,size_tercile_3,1011177
li1_ridge_additive_cs_joint_raw_fixed504_union,ridge,characteristics_core,504,rank_ic,0.0218316529377562,0.004151422992261086,5.2588360613827785,1.4497005629652575e-07,0.013695013388332967,0.02996829248717943,2266,2266,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,size_tercile_3,1011177
li1_ridge_additive_cs_joint_raw_fixed504_union,ridge,characteristics_core,504,ew_spread_bp,4.174624320090524,3.9428448174065545,1.0587848402404092,0.28969777927008666,-3.553209518656728,11.902458158837778,2266,2266,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,size_tercile_3,1011177
li1_ridge_additive_cs_joint_raw_fixed504_union,ridge,characteristics_core,504,cap_spread_bp,5.634120038311913,3.877151533401148,1.4531596172537269,0.146179441497512,-1.9649573297585814,13.233197406382407,2266,2266,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,size_tercile_3,1011177
li1_enet_additive_cs_joint_raw_fixed504_union,enet,characteristics_core,504,rank_ic,0.020822275045089097,0.004086878644232001,5.094909063296149,3.4890869179992524e-07,0.012812140093208491,0.028832409996969705,2266,2266,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,size_tercile_3,1011177
li1_enet_additive_cs_joint_raw_fixed504_union,enet,characteristics_core,504,ew_spread_bp,3.943670683784076,3.728244963703269,1.0577820723096545,0.29015480792975024,-3.3635551706171722,11.250896538185325,2266,2266,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,size_tercile_3,1011177
li1_enet_additive_cs_joint_raw_fixed504_union,enet,characteristics_core,504,cap_spread_bp,5.01111063857787,3.691826151319937,1.357352820307167,0.17466913155520047,-2.224735655192326,12.246956932348066,2266,2266,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,size_tercile_3,1011177
li1_ols_additive_cst_full_joint_raw_fixed504_union,ols,characteristics_textcore,504,rank_ic,0.019264080197291304,0.0031184778758605327,6.177398386055714,6.51664900402077e-10,0.01315197587401969,0.02537618452056292,2266,2266,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,size_tercile_3,1011177
li1_ols_additive_cst_full_joint_raw_fixed504_union,ols,characteristics_textcore,504,ew_spread_bp,5.074844981830844,3.1041752108906095,1.6348448902067083,0.10208156765088512,-1.0092266332167776,11.158916596878466,2266,2266,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,size_tercile_3,1011177
li1_ols_additive_cst_full_joint_raw_fixed504_union,ols,characteristics_textcore,504,cap_spread_bp,4.731146390672531,2.778540544825033,1.7027451334061618,0.08861577460580392,-0.714693006768834,10.176985788113896,2266,2266,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,size_tercile_3,1011177
li1_ridge_additive_cst_full_joint_raw_fixed504_union,ridge,characteristics_textcore,504,rank_ic,0.01968758210620599,0.0037039890471270978,5.315237668285263,1.0651820491688044e-07,0.012427896974706046,0.026947267237705935,2266,2266,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,size_tercile_3,1011177
li1_ridge_additive_cst_full_joint_raw_fixed504_union,ridge,characteristics_textcore,504,ew_spread_bp,4.4968590109197795,3.5672234434921553,1.260604804311768,0.20745126685214765,-2.4947704631317977,11.488488484971356,2266,2266,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,size_tercile_3,1011177
li1_ridge_additive_cst_full_joint_raw_fixed504_union,ridge,characteristics_textcore,504,cap_spread_bp,5.755401935380999,3.5485144363400063,1.6219187039061933,0.10482075614584654,-1.1995585584658635,12.710362429227862,2266,2266,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,size_tercile_3,1011177
