model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,representation,history_policy,refit_policy,target
ld2_ols_characteristics_full_raw_fixed504_retain,ols,characteristics,504,rank_ic,0.0675135122597086,0.003447184710255415,19.58511595240461,2.0713446105975463e-85,0.06075715437955084,0.07426987013986636,2266,2266,0,5,full,fixed504,retain,raw
ld2_ols_characteristics_full_raw_fixed504_retain,ols,characteristics,504,ew_spread_bp,22.189485484405903,5.648541598185405,3.9283565675667997,8.552833691126444e-05,11.118547386786192,33.260423582025616,2266,2266,0,5,full,fixed504,retain,raw
ld2_ols_characteristics_full_raw_fixed504_retain,ols,characteristics,504,cap_spread_bp,11.499896134649003,6.520568646109846,1.7636339342136687,0.07779363063269679,-1.280183570447397,24.279975839745404,2266,2266,0,5,full,fixed504,retain,raw
ld2_ols_characteristics_full_raw_fixed504_recent,ols,characteristics,504,rank_ic,0.06794975445736329,0.0034429346962890116,19.73599863238863,1.0583491289491044e-86,0.06120172645151348,0.0746977824632131,2266,2266,0,5,full,fixed504,recent,raw
ld2_ols_characteristics_full_raw_fixed504_recent,ols,characteristics,504,ew_spread_bp,22.842523286607392,5.637389844784683,4.0519680056790275,5.078861159966907e-05,11.793442224017568,33.891604349197216,2266,2266,0,5,full,fixed504,recent,raw
ld2_ols_characteristics_full_raw_fixed504_recent,ols,characteristics,504,cap_spread_bp,11.748821609305072,6.385506557878992,1.8399200600316283,0.06577997445805142,-0.7665412671820828,24.264184485792228,2266,2266,0,5,full,fixed504,recent,raw
ld2_ols_characteristics_full_raw_fixed504_union,ols,characteristics,504,rank_ic,0.06837476795308062,0.0034781171483162622,19.658558075359963,4.884124302130325e-86,0.06155778360836959,0.07519175229779165,2266,2266,0,5,full,fixed504,union,raw
ld2_ols_characteristics_full_raw_fixed504_union,ols,characteristics,504,ew_spread_bp,23.116537788528024,5.6786185697042955,4.070803049152811,4.6851348257418044e-05,11.98664990996725,34.2464256670888,2266,2266,0,5,full,fixed504,union,raw
ld2_ols_characteristics_full_raw_fixed504_union,ols,characteristics,504,cap_spread_bp,12.51478997740564,6.414561180037147,1.9509970559409593,0.05105739600306029,-0.05751891209591875,25.087098866907198,2266,2266,0,5,full,fixed504,union,raw
ld2_ols_characteristics_full_raw_select_retain,ols,characteristics,0,rank_ic,0.06816898778886231,0.0034599268765765786,19.70243598220551,2.0549116310200306e-86,0.061387655721630054,0.07495031985609456,2266,2266,0,5,full,select,retain,raw
