model_id,portfolio,decile,mean_bp,n_days,target,scope,horizon
ols_core_raw_fit504_val126,ew_raw,1,-21.72977274758661,2266,raw,full,1
ols_core_raw_fit504_val126,ew_raw,2,1.728427414010284,2266,raw,full,1
ols_core_raw_fit504_val126,ew_raw,3,4.773416357915798,2266,raw,full,1
ols_core_raw_fit504_val126,ew_raw,4,7.102277189532065,2266,raw,full,1
ols_core_raw_fit504_val126,ew_raw,5,8.374303690734042,2266,raw,full,1
ols_core_raw_fit504_val126,ew_raw,6,7.124626853832572,2266,raw,full,1
ols_core_raw_fit504_val126,ew_raw,7,6.18730351872192,2266,raw,full,1
ols_core_raw_fit504_val126,ew_raw,8,6.958520668233463,2266,raw,full,1
ols_core_raw_fit504_val126,ew_raw,9,7.066092412365603,2266,raw,full,1
ols_core_raw_fit504_val126,ew_raw,10,5.2518907635347665,2266,raw,full,1
ridge_core_raw_fit504_val126,ew_raw,1,-21.741600534097692,2266,raw,full,1
ridge_core_raw_fit504_val126,ew_raw,2,1.0964363216004263,2266,raw,full,1
ridge_core_raw_fit504_val126,ew_raw,3,5.106720136078239,2266,raw,full,1
ridge_core_raw_fit504_val126,ew_raw,4,6.91222540994416,2266,raw,full,1
ridge_core_raw_fit504_val126,ew_raw,5,8.707504673704022,2266,raw,full,1
ridge_core_raw_fit504_val126,ew_raw,6,6.773806167021498,2266,raw,full,1
ridge_core_raw_fit504_val126,ew_raw,7,6.53442572500665,2266,raw,full,1
ridge_core_raw_fit504_val126,ew_raw,8,6.766136896765675,2266,raw,full,1
ridge_core_raw_fit504_val126,ew_raw,9,7.002042101035462,2266,raw,full,1
ridge_core_raw_fit504_val126,ew_raw,10,5.679389224235498,2266,raw,full,1
lasso_core_raw_fit504_val126,ew_raw,1,-22.772606542436975,2266,raw,full,1
lasso_core_raw_fit504_val126,ew_raw,2,1.4251964986143104,2266,raw,full,1
lasso_core_raw_fit504_val126,ew_raw,3,4.956441831350896,2266,raw,full,1
lasso_core_raw_fit504_val126,ew_raw,4,7.188503391941368,2266,raw,full,1
lasso_core_raw_fit504_val126,ew_raw,5,8.617726090135513,2266,raw,full,1
lasso_core_raw_fit504_val126,ew_raw,6,6.723067269130407,2266,raw,full,1
lasso_core_raw_fit504_val126,ew_raw,7,6.618660746629136,2266,raw,full,1
lasso_core_raw_fit504_val126,ew_raw,8,6.410527991429672,2266,raw,full,1
lasso_core_raw_fit504_val126,ew_raw,9,6.355464791706562,2266,raw,full,1
lasso_core_raw_fit504_val126,ew_raw,10,5.018551318356044,2266,raw,full,1
enet_core_raw_fit504_val126,ew_raw,1,-22.773974431180314,2266,raw,full,1
enet_core_raw_fit504_val126,ew_raw,2,1.4220764596604225,2266,raw,full,1
enet_core_raw_fit504_val126,ew_raw,3,4.935700779676917,2266,raw,full,1
enet_core_raw_fit504_val126,ew_raw,4,7.21189548828989,2266,raw,full,1
enet_core_raw_fit504_val126,ew_raw,5,8.619562973158196,2266,raw,full,1
enet_core_raw_fit504_val126,ew_raw,6,6.723067269130407,2266,raw,full,1
enet_core_raw_fit504_val126,ew_raw,7,6.618660746629136,2266,raw,full,1
enet_core_raw_fit504_val126,ew_raw,8,6.410527991429672,2266,raw,full,1
enet_core_raw_fit504_val126,ew_raw,9,6.355464791706562,2266,raw,full,1
enet_core_raw_fit504_val126,ew_raw,10,5.018551318356044,2266,raw,full,1
ols_all_raw_fit504_val126,ew_raw,1,-21.625439485067115,2266,raw,full,1
ols_all_raw_fit504_val126,ew_raw,2,3.034153126684615,2266,raw,full,1
ols_all_raw_fit504_val126,ew_raw,3,7.945943926618294,2266,raw,full,1
ols_all_raw_fit504_val126,ew_raw,4,5.5519763441377545,2266,raw,full,1
ols_all_raw_fit504_val126,ew_raw,5,6.2256757889245415,2266,raw,full,1
ols_all_raw_fit504_val126,ew_raw,6,5.88112663221626,2266,raw,full,1
ols_all_raw_fit504_val126,ew_raw,7,7.111693659536629,2266,raw,full,1
ols_all_raw_fit504_val126,ew_raw,8,6.203605036434503,2266,raw,full,1
ols_all_raw_fit504_val126,ew_raw,9,6.682015049923397,2266,raw,full,1
ols_all_raw_fit504_val126,ew_raw,10,5.826336041885015,2266,raw,full,1
ridge_all_raw_fit504_val126,ew_raw,1,-20.712893434728816,2266,raw,full,1
ridge_all_raw_fit504_val126,ew_raw,2,0.9776630739710039,2266,raw,full,1
ridge_all_raw_fit504_val126,ew_raw,3,5.307313042185801,2266,raw,full,1
ridge_all_raw_fit504_val126,ew_raw,4,7.3023117243151905,2266,raw,full,1
ridge_all_raw_fit504_val126,ew_raw,5,6.2138201235546235,2266,raw,full,1
ridge_all_raw_fit504_val126,ew_raw,6,6.947525178587835,2266,raw,full,1
ridge_all_raw_fit504_val126,ew_raw,7,6.877628376627835,2266,raw,full,1
ridge_all_raw_fit504_val126,ew_raw,8,6.564809758001843,2266,raw,full,1
ridge_all_raw_fit504_val126,ew_raw,9,8.17115490575265,2266,raw,full,1
ridge_all_raw_fit504_val126,ew_raw,10,5.187753373025879,2266,raw,full,1
lasso_all_raw_fit504_val126,ew_raw,1,-20.256732170767588,2266,raw,full,1
lasso_all_raw_fit504_val126,ew_raw,2,0.9992946842035981,2266,raw,full,1
lasso_all_raw_fit504_val126,ew_raw,3,6.752234862027071,2266,raw,full,1
lasso_all_raw_fit504_val126,ew_raw,4,7.170989362308344,2266,raw,full,1
lasso_all_raw_fit504_val126,ew_raw,5,5.62423802060851,2266,raw,full,1
lasso_all_raw_fit504_val126,ew_raw,6,6.9720129975898475,2266,raw,full,1
lasso_all_raw_fit504_val126,ew_raw,7,6.589304739432761,2266,raw,full,1
lasso_all_raw_fit504_val126,ew_raw,8,7.476364040721959,2266,raw,full,1
lasso_all_raw_fit504_val126,ew_raw,9,5.883746162924392,2266,raw,full,1
lasso_all_raw_fit504_val126,ew_raw,10,5.625633422245,2266,raw,full,1
enet_all_raw_fit504_val126,ew_raw,1,-20.367051499956844,2266,raw,full,1
enet_all_raw_fit504_val126,ew_raw,2,1.0992559720812003,2266,raw,full,1
enet_all_raw_fit504_val126,ew_raw,3,6.729922478184654,2266,raw,full,1
enet_all_raw_fit504_val126,ew_raw,4,7.074152093153067,2266,raw,full,1
enet_all_raw_fit504_val126,ew_raw,5,5.678775891783761,2266,raw,full,1
enet_all_raw_fit504_val126,ew_raw,6,7.255634026693912,2266,raw,full,1
enet_all_raw_fit504_val126,ew_raw,7,6.6014330102061045,2266,raw,full,1
enet_all_raw_fit504_val126,ew_raw,8,7.057259030332184,2266,raw,full,1
