model_id,portfolio,decile,mean_bp,n_days,target,scope,horizon
ld3_lasso_characteristics_full_raw_standard_expanded_none_fixed504_union,ew_raw,8,4.780022666041639,2266,raw,full,1
ld3_lasso_characteristics_full_raw_standard_expanded_none_fixed504_union,ew_raw,9,5.840192839128176,2266,raw,full,1
ld3_lasso_characteristics_full_raw_standard_expanded_none_fixed504_union,ew_raw,10,5.900432615290404,2266,raw,full,1
ld3_enet_characteristics_full_raw_standard_original_none_fixed504_union,ew_raw,1,-14.681241447953342,2266,raw,full,1
ld3_enet_characteristics_full_raw_standard_original_none_fixed504_union,ew_raw,2,2.438190141072972,2266,raw,full,1
ld3_enet_characteristics_full_raw_standard_original_none_fixed504_union,ew_raw,3,6.807560864698802,2266,raw,full,1
ld3_enet_characteristics_full_raw_standard_original_none_fixed504_union,ew_raw,4,7.405152448842431,2266,raw,full,1
ld3_enet_characteristics_full_raw_standard_original_none_fixed504_union,ew_raw,5,4.39549339230587,2266,raw,full,1
ld3_enet_characteristics_full_raw_standard_original_none_fixed504_union,ew_raw,6,5.412500972228969,2266,raw,full,1
ld3_enet_characteristics_full_raw_standard_original_none_fixed504_union,ew_raw,7,5.017605296316304,2266,raw,full,1
ld3_enet_characteristics_full_raw_standard_original_none_fixed504_union,ew_raw,8,4.424928314949265,2266,raw,full,1
ld3_enet_characteristics_full_raw_standard_original_none_fixed504_union,ew_raw,9,5.948753564285771,2266,raw,full,1
ld3_enet_characteristics_full_raw_standard_original_none_fixed504_union,ew_raw,10,5.668142574546836,2266,raw,full,1
ld3_enet_characteristics_full_raw_standard_expanded_none_fixed504_union,ew_raw,1,-13.841272711365416,2266,raw,full,1
ld3_enet_characteristics_full_raw_standard_expanded_none_fixed504_union,ew_raw,2,2.1605406655614776,2266,raw,full,1
ld3_enet_characteristics_full_raw_standard_expanded_none_fixed504_union,ew_raw,3,6.603420371900895,2266,raw,full,1
ld3_enet_characteristics_full_raw_standard_expanded_none_fixed504_union,ew_raw,4,7.033893353493663,2266,raw,full,1
ld3_enet_characteristics_full_raw_standard_expanded_none_fixed504_union,ew_raw,5,4.9010786300608915,2266,raw,full,1
ld3_enet_characteristics_full_raw_standard_expanded_none_fixed504_union,ew_raw,6,5.473381733686472,2266,raw,full,1
ld3_enet_characteristics_full_raw_standard_expanded_none_fixed504_union,ew_raw,7,4.218418790122504,2266,raw,full,1
ld3_enet_characteristics_full_raw_standard_expanded_none_fixed504_union,ew_raw,8,4.780977296251494,2266,raw,full,1
ld3_enet_characteristics_full_raw_standard_expanded_none_fixed504_union,ew_raw,9,5.90328155200485,2266,raw,full,1
ld3_enet_characteristics_full_raw_standard_expanded_none_fixed504_union,ew_raw,10,5.603366439577057,2266,raw,full,1
ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,ew_raw,1,-19.00171110733446,2266,raw,full,1
ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,ew_raw,2,2.805294844808516,2266,raw,full,1
ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,ew_raw,3,7.1653291394462135,2266,raw,full,1
