date,lr_2_rank,lr_all_rank,core_rank,text_rank,text_ols_rank,textcore_rank
2012,-0.0019569338977658943,0.012682589608908694,0.004853320261510231,0.01199291426367426,0.007417836822895912,0.009775180929423343
2013,0.011448550642985673,0.007087629817734311,0.011260708682133226,0.025426855613017434,0.023491700850045823,0.024268575353300015
2014,0.021297581203287775,0.020391712795781166,0.021501328986683006,0.03384391914223343,0.03136178560461713,0.031547789398607085
2015,0.027334690643948757,0.024490141304979875,0.02733463023810073,0.0344296604949986,0.03133666968751459,0.03220189400883881
2016,0.031812928086742576,0.03307164200811418,0.03484133631009061,0.03684157811297148,0.03246633089394047,0.03397519659489183
2017,0.033868344608810275,0.03248729000719785,0.03355709241867865,0.03671306224754472,0.038556418077367975,0.040556786295575256
2018,0.030255790292182415,0.029134439211340728,0.033278476354095025,0.04200963894481771,0.04126953861477984,0.042952062939804136
2019,0.03436018765888933,0.03616632646111061,0.03530594095628315,0.04290432334363454,0.04324945204924729,0.04353053964811432
2020,0.038836091899642995,0.03910735288302712,0.039779596017273655,0.04447380777077029,0.04480048856779394,0.04651315081717484
2021,0.049286830019437046,0.04188256808700158,0.049213256766296426,0.047715266956430864,0.046720224754817734,0.04790639760395094
2022,0.046214300700649184,0.04785543329388806,0.04627461657952786,0.05458408077748741,0.05441527240117916,0.056342820798916615
