date,core_rank|rank_corr,core_rank|long,core_rank|short_asset_return,core_rank|spread,all_ols|rank_corr,all_ols|long,all_ols|short_asset_return,all_ols|spread,textcore_ols|rank_corr,textcore_ols|long,textcore_ols|short_asset_return,textcore_ols|spread,textcore_ridge_rc|rank_corr,textcore_ridge_rc|long,textcore_ridge_rc|short_asset_return,textcore_ridge_rc|spread,textcore_enet_rc|rank_corr,textcore_enet_rc|long,textcore_enet_rc|short_asset_return,textcore_enet_rc|spread,textcore_lasso_rc|rank_corr,textcore_lasso_rc|long,textcore_lasso_rc|short_asset_return,textcore_lasso_rc|spread,textcore_lasso_sse|rank_corr,textcore_lasso_sse|long,textcore_lasso_sse|short_asset_return,textcore_lasso_sse|spread
2012-01-03,-0.09665585191886528,-0.006357189173789178,0.0015188342995169086,-0.007876023473306086,0.11276165578124227,-0.0018242888888888905,0.004290174074074105,-0.006114462962962996,0.09538117105933826,0.011296414814814835,-0.001438103703703686,0.01273451851851852,0.1407183219157202,0.004807822222222236,-0.0023689555555555654,0.007176777777777801,0.14098171149573577,0.00807504444444445,0.0019363407407407386,0.006138703703703711,0.1608383592780199,0.0011134518518518758,-0.0020727703703703787,0.0031862222222222543,0.1608383592780199,0.0011134518518518758,-0.0020727703703703787,0.0031862222222222543
2012-01-04,-0.06282819525908492,0.00024866027874567183,-0.0017400022583559252,0.001988662537101597,-0.07123421854592947,-0.00602193902439019,0.017436719512195133,-0.023458658536585325,-0.07763344779475098,-0.015587475609756098,-0.010495012195121955,-0.005092463414634143,0.03758142369764126,0.0018098170731707392,-0.0040917439024390195,0.005901560975609759,0.016945924325869516,0.001745426829268312,0.0014154268292682695,0.0003300000000000425,-0.015650763764033633,-0.003602207317073177,-0.0011017439024390478,-0.0025004634146341288,-0.015650763764033633,-0.003602207317073177,-0.0011017439024390478,-0.0025004634146341288
2012-01-05,0.02316589460719028,0.0009497719298245607,-0.0005207513906718026,0.0014705233204963634,0.09637753944932108,0.011322421052631579,-0.0006354561403508743,0.011957877192982453,0.19038361453746913,0.010576140350877245,0.005642122807017553,0.004934017543859692,0.1087883224796073,-0.004269771929824521,8.310526315788666e-05,-0.004352877192982408,0.08519996841701487,-0.00032591228070174,0.00072635087719297,-0.00105226315789471,0.14820485093722227,0.0072926140350877385,0.002912789473684208,0.0043798245614035305,0.14820485093722227,0.0072926140350877385,0.002912789473684208,0.0043798245614035305
2012-01-06,-0.017161367697637667,-0.005951032520325195,-0.0002877280356674501,-0.005663304484657745,0.04327308314273973,-0.007047780487804863,-0.004348520325203245,-0.002699260162601618,-0.09209928064913254,-0.0032862601626016366,-0.0008308699186991837,-0.002455390243902453,-0.017848447827210134,-0.00494952845528457,-0.00042490243902437215,-0.004524626016260198,-0.039040859592417904,0.00238082926829269,0.002848276422764256,-0.00046744715447156636,-0.07550844703196974,-0.002540715447154482,0.005058832520325208,-0.00759954796747969,-0.07550844703196974,-0.002540715447154482,0.005058832520325208,-0.00759954796747969
2012-01-09,-0.02492960198759038,-0.001256018784530387,-4.6834346224682386e-05,-0.0012091844383057047,0.046772270154566066,0.012309099447513829,-9.495580110497103e-05,0.0124040552486188,0.0035720068004357827,0.011881966850828728,0.005601900552486205,0.0062800662983425225,0.004616287542092929,-0.0014162596685083054,0.001119889502762441,-0.0025361491712707464,-0.013869100625148113,-0.0020379392265193726,0.0022769944751381437,-0.004314933701657517,-0.04580668664082918,-0.008377872928176822,-0.003668298342541427,-0.004709574585635395,-0.04580668664082918,-0.008377872928176822,-0.003668298342541427,-0.004709574585635395
2012-01-10,-0.11197775739476865,-0.0121951504723347,0.002514652412280706,-0.014709802884615406,0.11397142209117714,-0.006497429824561417,-0.006548500000000001,5.107017543858408e-05,0.03787724051781831,0.012914657894736833,-0.0047041035087719415,0.017618761403508775,-0.006294303165687623,-0.0126913245614035,-0.010464121052631576,-0.0022272035087719244,-0.010597199826106197,-0.013797026315789454,-0.010718892982456133,-0.0030781333333333213,0.058512506705682525,-0.009894114035087711,-0.013908763157894785,0.004014649122807074,0.058512506705682525,-0.009894114035087711,-0.013908763157894785,0.004014649122807074
2012-01-11,-0.14789936839618772,-0.012200866666666638,0.0012407393939393874,-0.013441606060606025,0.09258880091510585,0.005362371428571407,-0.004510771428571418,0.009873142857142825,-0.31981960967695056,-0.006930104761904752,0.008474228571428563,-0.015404333333333315,-0.27520928906882974,-0.009387057142857116,0.009559514285714268,-0.018946571428571382,-0.2563097737379898,-0.011384580952380926,0.011355371428571407,-0.022739952380952333,-0.29135111318847745,-0.006496414285714274,0.010282752380952373,-0.016779166666666647,-0.29135111318847745,-0.006496414285714274,0.010282752380952373,-0.016779166666666647
2012-01-12,0.218718771646855,0.00031395714285712393,-0.0037611518443997224,0.004075108987256847,0.10247930457277277,0.005710219047619059,0.002050790476190422,0.0036594285714286368,0.06309432788817984,-0.004914685714285686,0.0008763142857142784,-0.005790999999999965,0.09824925162607302,-0.0006223523809523331,-0.005235780952380942,0.004613428571428609,0.10284188837508118,0.001539885714285735,-0.005478114285714281,0.007018000000000016,0.06685759456964703,0.0004815047619047787,-0.004424447619047609,0.004905952380952388,0.06685759456964703,0.0004815047619047787,-0.004424447619047609,0.004905952380952388
2012-01-13,0.07973595031923489,-0.002291353861192587,-0.0004721114200964006,-0.0018192424410961865,-0.07056664441070105,-0.0011470430107526819,0.007323408602150496,-0.008470451612903178,-0.09523738473933932,-0.011321516129032252,0.00953998924731184,-0.02086150537634409,-0.047148697442630776,-0.00878984946236554,0.0035957741935483648,-0.012385623655913905,-0.0851660648742204,-0.011275849462365555,0.00444726881720428,-0.015723118279569834,-0.06508310703947957,-0.010378774193548353,0.01172531182795697,-0.022104086021505324,-0.06508310703947957,-0.010378774193548353,0.01172531182795697,-0.022104086021505324
2012-01-17,0.15181822972683093,0.009675568181818191,-0.0016702477766798425,0.011345815958498033,0.037576615375338136,0.00033882386363633126,0.003733971590909095,-0.003395147727272764,0.03447736948027899,0.0038114374999999954,0.005637755681818197,-0.0018263181818182015,-0.0032049447719648986,-0.0024087556818181907,0.010643005681818207,-0.013051761363636397,-0.03209347168629686,-0.0017469602272727283,0.012355778409090922,-0.014102738636363651,0.012727328757899068,0.0031102215909090836,0.0031982556818181958,-8.803409090911212e-05,0.012727328757899068,0.0031102215909090836,0.0031982556818181958,-8.803409090911212e-05
