date,core_rank,all_ols,textcore_ols,textcore_ridge_rc,textcore_enet_rc,textcore_lasso_rc,textcore_lasso_sse
2012,0.004853320261510192,0.014737064025099698,0.009775180929423317,0.010797732970885569,0.012462830905945136,0.011546240499658756,-0.00012145548882681396
2013,0.01126070868213319,0.010586690460410676,0.024268575353299925,0.025890147424937414,0.025833441699360905,0.02624114673502478,0.012598109781113233
2014,0.021501328986683083,0.020557417608652696,0.031547789398607126,0.0335955711798332,0.03334023320709365,0.030902991684355313,0.027042173142322788
2015,0.02733463023810077,0.0260995219226026,0.03220189400883886,0.03538411599892709,0.03557118824386093,0.03359004855526562,0.03410632179883329
2016,0.03484133631009059,0.03275553511480941,0.0339751965948918,0.039471486537988286,0.04001729027685437,0.03939978829962184,0.04019449115540114
2017,0.03355709241867867,0.03322328604594915,0.04055678629557525,0.040935374793364086,0.040161800310202334,0.03903898516362717,0.039104991983799256
2018,0.03327847635409497,0.03019173659818129,0.042952062939804095,0.044203218985958595,0.04482731069398704,0.04355677449283545,0.04306991945626663
2019,0.03530594095628314,0.03618828851083849,0.043530539648114326,0.04551098535350897,0.045435567329432325,0.04345107928079656,0.0433879054127819
2020,0.039779596017273725,0.040244848902597476,0.046513150817174886,0.04775284982385738,0.04804077092516625,0.04726852367730246,0.046811052072428284
2021,0.04921325676629647,0.04373881252357451,0.047906397603951004,0.05222807241787963,0.05349798555137239,0.05006774745431654,0.05148965035625825
2022,0.046274616579527916,0.04775242052595371,0.05634282079891664,0.05690511083699618,0.05621165856311861,0.0549673525044698,0.055378377734116566
