,core_rank (benchmark),lr_all_rank,text_rank,textcore_ols_rank,textcore_enet_rank
raw 1d,0.03066887256862407,0.029495036355448697,0.037370963991872806,0.037246694546550045,0.040117192608070854
dgtw 1d,0.02840176241835912,0.026516097769697936,0.033874718247240636,0.033662433756161105,0.03677373252204016
dgtw 3d,0.03480564612412711,0.03157240764205276,0.041060905695727956,0.03997405090661696,0.04395987114844908
dgtw 5d,0.0384818126145864,0.034773807374334186,0.04578694462758958,0.044680170040929515,0.04901213543339338
dgtw 10d,0.04492693942223401,0.0396490179324274,0.05313616086348844,0.05213034802250648,0.05690122431368655
dgtw 21d,0.05994812213574145,0.051303479205703245,0.06952659387173267,0.06620137491320756,0.07399559725648396
dgtw 42d,0.06536600352809917,0.055637466952602264,0.0792333481133231,0.07402886138822486,0.08351105121614483
dgtw 63d,0.07311440277925955,0.062386465308404464,0.0893358889484518,0.08409412671767892,0.0936253937467204
