date,all_rank,textcore_ols_rank,text_ridge_rank,text_ridge_rank_rc,textcore_ridge_rank,textcore_ridge_rank_rc,text_lasso_rank,text_lasso_rank_rc,textcore_lasso_rank,textcore_lasso_rank_rc,all_lasso_rank,all_lasso_rank_rc,text_enet_rank,text_enet_rank_rc,textcore_enet_rank,textcore_enet_rank_rc,all_enet_rank,all_enet_rank_rc
2012,0.014737064025099719,0.009775180929423343,0.01199291426367426,0.010250660675410967,0.01297402469851532,0.010797732970885605,-0.000306601110555845,0.010603309758485979,-0.00012145548882680112,0.011546240499658784,0.01072160712134296,0.008752114176734098,0.016828668055066876,0.0159348346159446,0.016036234818432405,0.012462830905945162,0.01206682289119094,0.01250453759390378
2013,0.010586690460410742,0.024268575353300015,0.025426855613017434,0.025166419459952377,0.026612420794206098,0.02589014742493749,0.01118800077644944,0.024224225496048288,0.012598109781113264,0.02624114673502484,0.003909932614927296,0.011976392278533605,0.02369017866213792,0.023164638123768923,0.025415760551293923,0.025833441699360984,0.016064832384871486,0.013992377669295562
2014,0.020557417608652616,0.031547789398607085,0.03384391914223343,0.03212807691106313,0.03519070252056495,0.03359557117983312,0.027192505495331795,0.03063823635348351,0.027042173142322712,0.030902991684355258,0.020073906382406612,0.021653935979744653,0.030917200913045596,0.03272457732362321,0.033205970979033744,0.03334023320709359,0.020753035208136823,0.020618697961710557
2015,0.026099521922602554,0.03220189400883881,0.0344296604949986,0.0340391860331133,0.03554003058520275,0.03538411599892705,0.03336565970442398,0.03307389085024352,0.03410632179883326,0.03359004855526557,0.029760448486088383,0.02950640820539495,0.03406216094222886,0.034086642227259684,0.035814232417638606,0.035571188243860914,0.028298863245175398,0.02826241631777418
2016,0.03275553511480943,0.03397519659489183,0.03684157811297148,0.03590793339167326,0.040275260374255266,0.039471486537988286,0.03701847554049404,0.037798165172989326,0.04019449115540117,0.03939978829962187,0.03735013372090589,0.038474425920707454,0.037766662504727086,0.037170791812862834,0.04122535066051941,0.040017290276854425,0.037743520667303875,0.037627874459370776
2017,0.03322328604594918,0.040556786295575256,0.03671306224754472,0.03769430719373615,0.04125280486115685,0.04093537479336412,0.03798454538117295,0.03716851878357016,0.03910499198379927,0.039038985163627186,0.0337186832365482,0.03392667221689331,0.036653827436265086,0.03566979811748291,0.04080285018384697,0.04016180031020235,0.033685430555512874,0.03368257875206546
2018,0.030191736598181314,0.042952062939804136,0.04200963894481771,0.041839872906547323,0.04421821336532548,0.04420321898595864,0.042048699060180585,0.04191787286422863,0.04306991945626665,0.0435567744928355,0.031205449597443268,0.0328928457463067,0.041719071041917195,0.0417093540370921,0.04483649111556264,0.04482731069398708,0.033022512423911354,0.031877167972571306
2019,0.036188288510838516,0.04353053964811432,0.04290432334363454,0.04307211191526639,0.045456673061793566,0.045510985353508955,0.04349747731769345,0.043150389209180254,0.04338790541278193,0.04345107928079658,0.03635001096491993,0.03589835192304857,0.04163088377528489,0.04152942245506139,0.04543556732943233,0.04543556732943233,0.03528569032909179,0.03508252792094431
2020,0.04024484890259744,0.04651315081717484,0.04447380777077029,0.04475601375156404,0.047895787206779866,0.04775284982385731,0.04596342801962488,0.045740321997886906,0.04681105207242821,0.0472685236773024,0.040652821525208965,0.039878606583803725,0.04237887493108148,0.04233891958170946,0.04804077092516616,0.04804077092516616,0.03892500071902957,0.03802781985759257
2021,0.04373881252357445,0.04790639760395094,0.047715266956430864,0.04697485822217779,0.04989890682200189,0.05222807241787958,0.04990738910385765,0.048533409388835255,0.0514896503562582,0.05006774745431649,0.045255423061081795,0.046596597889874275,0.04843581581753092,0.048704207127463456,0.05345231925670371,0.05349798555137235,0.04555081456470124,0.04669326897824795
2022,0.047752420525953666,0.056342820798916615,0.05458408077748741,0.05359414268527496,0.057535306810911395,0.05690511083699614,0.05375933244944872,0.053001294931618904,0.05537837773411654,0.05496735250446977,0.04796623246854849,0.04694595692687702,0.05198383151945234,0.05103682035861935,0.056889012044894424,0.05621165856311857,0.04775161822763939,0.04672627510428617
