model_id,portfolio,decile,mean_bp,n_days,target,scope,horizon
ld2_ols_characteristics_full_raw_select_union,ew_raw,6,5.567071198165351,2266,raw,full,1
ld2_ols_characteristics_full_raw_select_union,ew_raw,7,4.914219989454885,2266,raw,full,1
ld2_ols_characteristics_full_raw_select_union,ew_raw,8,4.5287167916538715,2266,raw,full,1
ld2_ols_characteristics_full_raw_select_union,ew_raw,9,5.891921428632992,2266,raw,full,1
ld2_ols_characteristics_full_raw_select_union,ew_raw,10,6.154014145397885,2266,raw,full,1
ld2_ridge_characteristics_full_raw_fixed504_retain,ew_raw,1,-13.926426216959479,2266,raw,full,1
ld2_ridge_characteristics_full_raw_fixed504_retain,ew_raw,2,1.5715116842634889,2266,raw,full,1
ld2_ridge_characteristics_full_raw_fixed504_retain,ew_raw,3,6.128068568672155,2266,raw,full,1
ld2_ridge_characteristics_full_raw_fixed504_retain,ew_raw,4,7.044025627884286,2266,raw,full,1
ld2_ridge_characteristics_full_raw_fixed504_retain,ew_raw,5,6.976790771124466,2266,raw,full,1
ld2_ridge_characteristics_full_raw_fixed504_retain,ew_raw,6,3.9600529924561543,2266,raw,full,1
ld2_ridge_characteristics_full_raw_fixed504_retain,ew_raw,7,4.439142233654656,2266,raw,full,1
ld2_ridge_characteristics_full_raw_fixed504_retain,ew_raw,8,4.951154287543909,2266,raw,full,1
ld2_ridge_characteristics_full_raw_fixed504_retain,ew_raw,9,5.746493654436185,2266,raw,full,1
ld2_ridge_characteristics_full_raw_fixed504_retain,ew_raw,10,5.946272518218029,2266,raw,full,1
ld2_ridge_characteristics_full_raw_fixed504_recent,ew_raw,1,-13.760411416429276,2266,raw,full,1
ld2_ridge_characteristics_full_raw_fixed504_recent,ew_raw,2,2.0869148069980454,2266,raw,full,1
ld2_ridge_characteristics_full_raw_fixed504_recent,ew_raw,3,5.63365211360473,2266,raw,full,1
ld2_ridge_characteristics_full_raw_fixed504_recent,ew_raw,4,7.719197260552442,2266,raw,full,1
ld2_ridge_characteristics_full_raw_fixed504_recent,ew_raw,5,4.7367493491025865,2266,raw,full,1
ld2_ridge_characteristics_full_raw_fixed504_recent,ew_raw,6,4.840869484651291,2266,raw,full,1
ld2_ridge_characteristics_full_raw_fixed504_recent,ew_raw,7,4.3604440840978835,2266,raw,full,1
ld2_ridge_characteristics_full_raw_fixed504_recent,ew_raw,8,5.374198949330404,2266,raw,full,1
ld2_ridge_characteristics_full_raw_fixed504_recent,ew_raw,9,5.9338663465244395,2266,raw,full,1
ld2_ridge_characteristics_full_raw_fixed504_recent,ew_raw,10,5.911605142861329,2266,raw,full,1
ld2_ridge_characteristics_full_raw_fixed504_union,ew_raw,1,-14.363923913455949,2266,raw,full,1
ld2_ridge_characteristics_full_raw_fixed504_union,ew_raw,2,1.6895605580318926,2266,raw,full,1
ld2_ridge_characteristics_full_raw_fixed504_union,ew_raw,3,6.004984923057233,2266,raw,full,1
ld2_ridge_characteristics_full_raw_fixed504_union,ew_raw,4,7.523271303079585,2266,raw,full,1
ld2_ridge_characteristics_full_raw_fixed504_union,ew_raw,5,5.5090257964671725,2266,raw,full,1
ld2_ridge_characteristics_full_raw_fixed504_union,ew_raw,6,5.067353882735521,2266,raw,full,1
ld2_ridge_characteristics_full_raw_fixed504_union,ew_raw,7,4.5978306119079475,2266,raw,full,1
ld2_ridge_characteristics_full_raw_fixed504_union,ew_raw,8,4.63120397455463,2266,raw,full,1
ld2_ridge_characteristics_full_raw_fixed504_union,ew_raw,9,6.322639559723625,2266,raw,full,1
ld2_ridge_characteristics_full_raw_fixed504_union,ew_raw,10,5.855139425192186,2266,raw,full,1
ld2_ridge_characteristics_full_raw_select_retain,ew_raw,1,-13.406342988537427,2266,raw,full,1
ld2_ridge_characteristics_full_raw_select_retain,ew_raw,2,1.2043944560843831,2266,raw,full,1
ld2_ridge_characteristics_full_raw_select_retain,ew_raw,3,6.03213746722254,2266,raw,full,1
ld2_ridge_characteristics_full_raw_select_retain,ew_raw,4,6.719456845732306,2266,raw,full,1
ld2_ridge_characteristics_full_raw_select_retain,ew_raw,5,7.070737889849863,2266,raw,full,1
ld2_ridge_characteristics_full_raw_select_retain,ew_raw,6,4.239723102862889,2266,raw,full,1
