model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,representation,history_policy,refit_policy,target,subgroup,stock_days
ld2_lasso_characteristics_full_raw_fixed504_retain,lasso,characteristics,504,cap_spread_bp,43.9209242470324,8.504907286804748,5.164186129950545,2.4148731170212256e-07,27.251612273042827,60.59023622102198,2266,2266,0,5,full,fixed504,retain,raw,size_tercile_1,1010848
ld2_lasso_characteristics_full_raw_fixed504_recent,lasso,characteristics,504,rank_ic,0.08629580360961617,0.0025398948480797093,33.97613238786646,5.017483267250171e-253,0.08131770118286111,0.09127390603637123,2266,2266,0,5,full,fixed504,recent,raw,size_tercile_1,1010848
ld2_lasso_characteristics_full_raw_fixed504_recent,lasso,characteristics,504,ew_spread_bp,38.71704814022978,7.8138147323408695,4.954948314807419,7.234951824794591e-07,23.40225268297319,54.031843597486365,2266,2266,0,5,full,fixed504,recent,raw,size_tercile_1,1010848
ld2_lasso_characteristics_full_raw_fixed504_recent,lasso,characteristics,504,cap_spread_bp,34.60450256680687,8.496682807113933,4.0727073556086975,4.646979737272887e-05,17.951310276802875,51.25769485681087,2266,2266,0,5,full,fixed504,recent,raw,size_tercile_1,1010848
ld2_lasso_characteristics_full_raw_fixed504_union,lasso,characteristics,504,rank_ic,0.08708556126081285,0.0025544693196791436,34.09144928456268,9.87538232965672e-255,0.08207889339462919,0.09209222912699651,2266,2266,0,5,full,fixed504,union,raw,size_tercile_1,1010848
ld2_lasso_characteristics_full_raw_fixed504_union,lasso,characteristics,504,ew_spread_bp,40.91108238054228,7.8355044455283345,5.221244230662129,1.7772496639627615e-07,25.55377586660326,56.268388894481305,2266,2266,0,5,full,fixed504,union,raw,size_tercile_1,1010848
ld2_lasso_characteristics_full_raw_fixed504_union,lasso,characteristics,504,cap_spread_bp,37.75868181114419,8.519047981893825,4.432265423483418,9.324812783676769e-06,21.061654584063664,54.455709038224725,2266,2266,0,5,full,fixed504,union,raw,size_tercile_1,1010848
ld2_enet_characteristics_full_raw_fixed504_retain,enet,characteristics,504,rank_ic,0.08642847043805284,0.002546860097433253,33.935303523407576,2.0095626638437927e-252,0.0814367163734215,0.09142022450268418,2266,2266,0,5,full,fixed504,retain,raw,size_tercile_1,1010848
ld2_enet_characteristics_full_raw_fixed504_retain,enet,characteristics,504,ew_spread_bp,43.837140390898156,7.938113432622799,5.522362556667839,3.344714189970192e-08,28.278723957763848,59.39555682403247,2266,2266,0,5,full,fixed504,retain,raw,size_tercile_1,1010848
ld2_enet_characteristics_full_raw_fixed504_retain,enet,characteristics,504,cap_spread_bp,43.057805121946465,8.462619675230334,5.0879995526650585,3.618602241801476e-07,26.47137534363496,59.64423490025797,2266,2266,0,5,full,fixed504,retain,raw,size_tercile_1,1010848
ld2_enet_characteristics_full_raw_fixed504_recent,enet,characteristics,504,rank_ic,0.08631784661464825,0.002539597406068246,33.98879145505343,3.26209726999613e-253,0.08134032716352314,0.09129536606577336,2266,2266,0,5,full,fixed504,recent,raw,size_tercile_1,1010848
ld2_enet_characteristics_full_raw_fixed504_recent,enet,characteristics,504,ew_spread_bp,38.22626909044299,7.808405722997041,4.895528030499277,9.804211510825395e-07,22.922075096692346,53.530463084193634,2266,2266,0,5,full,fixed504,recent,raw,size_tercile_1,1010848
ld2_enet_characteristics_full_raw_fixed504_recent,enet,characteristics,504,cap_spread_bp,34.36694880354289,8.46431601714583,4.060215702476977,4.902740147624393e-05,17.777194256171548,50.95670335091423,2266,2266,0,5,full,fixed504,recent,raw,size_tercile_1,1010848
ld2_enet_characteristics_full_raw_fixed504_union,enet,characteristics,504,rank_ic,0.0870436347589025,0.0025524808454004664,34.10158196319235,6.988453760738325e-255,0.08204086423068924,0.09204640528711577,2266,2266,0,5,full,fixed504,union,raw,size_tercile_1,1010848
ld2_enet_characteristics_full_raw_fixed504_union,enet,characteristics,504,ew_spread_bp,40.153890140803576,7.831377360119098,5.127308810999873,2.9391320414720246e-07,24.80467256562778,55.50310771597937,2266,2266,0,5,full,fixed504,union,raw,size_tercile_1,1010848
ld2_enet_characteristics_full_raw_fixed504_union,enet,characteristics,504,cap_spread_bp,37.13457685521367,8.394020185257622,4.423932279842853,9.692041220332182e-06,20.6825996066065,53.586554103820845,2266,2266,0,5,full,fixed504,union,raw,size_tercile_1,1010848
ld2_ols_characteristics_core_full_raw_fixed504_retain,ols,characteristics_core,504,rank_ic,0.08905050724849528,0.0023917593308554063,37.232219019564404,2.0555237766386335e-303,0.08436274510033107,0.0937382693966595,2266,2266,0,5,full,fixed504,retain,raw,size_tercile_1,1010848
ld2_ols_characteristics_core_full_raw_fixed504_retain,ols,characteristics_core,504,ew_spread_bp,67.94921285821316,7.525132960563483,9.029636182418379,1.7224348091629622e-19,53.20022327663346,82.69820243979285,2266,2266,0,5,full,fixed504,retain,raw,size_tercile_1,1010848
ld2_ols_characteristics_core_full_raw_fixed504_retain,ols,characteristics_core,504,cap_spread_bp,60.67681285223817,8.364161115082059,7.25438116475628,4.035023526482459e-13,44.28335830578696,77.07026739868938,2266,2266,0,5,full,fixed504,retain,raw,size_tercile_1,1010848
ld2_ols_characteristics_core_full_raw_fixed504_recent,ols,characteristics_core,504,rank_ic,0.08996561812980938,0.0023906575930653434,37.632163799105115,6.405438444046e-310,0.0852800153480341,0.09465122091158466,2266,2266,0,5,full,fixed504,recent,raw,size_tercile_1,1010848
ld2_ols_characteristics_core_full_raw_fixed504_recent,ols,characteristics_core,504,ew_spread_bp,66.71673816860618,7.542792482156797,8.845097929769521,9.14480757009483e-19,51.93313656071938,81.50033977649298,2266,2266,0,5,full,fixed504,recent,raw,size_tercile_1,1010848
ld2_ols_characteristics_core_full_raw_fixed504_recent,ols,characteristics_core,504,cap_spread_bp,57.81129518574577,8.349430913616654,6.923980302832894,4.3912699601173286e-12,41.44671130365177,74.17587906783977,2266,2266,0,5,full,fixed504,recent,raw,size_tercile_1,1010848
ld2_ols_characteristics_core_full_raw_fixed504_union,ols,characteristics_core,504,rank_ic,0.0909216994233173,0.0024105434774262563,37.71834039699406,0.0,0.0861971210243939,0.09564627782224071,2266,2266,0,5,full,fixed504,union,raw,size_tercile_1,1010848
ld2_ols_characteristics_core_full_raw_fixed504_union,ols,characteristics_core,504,ew_spread_bp,68.5763939449623,7.581895036722752,9.044756437910833,1.4999919076579797e-19,53.71615273842272,83.43663515150189,2266,2266,0,5,full,fixed504,union,raw,size_tercile_1,1010848
ld2_ols_characteristics_core_full_raw_fixed504_union,ols,characteristics_core,504,cap_spread_bp,59.28480581550018,8.488948981920087,6.983762765186362,2.8737718161749466e-12,42.64677154433885,75.92284008666151,2266,2266,0,5,full,fixed504,union,raw,size_tercile_1,1010848
ld2_ridge_characteristics_core_full_raw_fixed504_retain,ridge,characteristics_core,504,rank_ic,0.09137503521251665,0.002563831127860936,35.64003659193925,3.3618956837699566e-278,0.08635001853946651,0.09640005188556679,2266,2266,0,5,full,fixed504,retain,raw,size_tercile_1,1010848
ld2_ridge_characteristics_core_full_raw_fixed504_retain,ridge,characteristics_core,504,ew_spread_bp,55.66077118932436,7.764214134438794,7.168886667156247,7.561011525140277e-13,40.443191117567494,70.87835126108122,2266,2266,0,5,full,fixed504,retain,raw,size_tercile_1,1010848
