model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,basis,interaction_term,n_features,representation,transform,penalty_grid,pca_grid,history_policy,refit_policy,target,horizon,target_column,stock_days
li1_ols_additive_cst_full_joint_raw_fixed504_union,ols,characteristics_textcore,504,rank_ic,0.08008266655444028,0.004883292729758747,16.399317220206182,1.9339943858824613e-60,0.07051158867814684,0.08965374443073372,2266,2266,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,3,f_cumret3,3031789
li1_ols_additive_cst_full_joint_raw_fixed504_union,ols,characteristics_textcore,504,ew_spread_bp,62.26891662396352,13.919353227621913,4.473549568409222,7.693171373164532e-06,34.98748560973321,89.55034763819383,2266,2266,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,3,f_cumret3,3031789
li1_ols_additive_cst_full_joint_raw_fixed504_union,ols,characteristics_textcore,504,cap_spread_bp,29.59117008006604,14.643726127911446,2.020740474220168,0.043306637673227726,0.8899942698914245,58.292345890240654,2266,2266,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,3,f_cumret3,3031789
li1_ridge_additive_cst_full_joint_raw_fixed504_union,ridge,characteristics_textcore,504,rank_ic,0.08458433779120463,0.0055266682001747554,15.304761336772494,7.106218458042272e-53,0.0737522671643593,0.09541640841804995,2266,2266,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,3,f_cumret3,3031789
li1_ridge_additive_cst_full_joint_raw_fixed504_union,ridge,characteristics_textcore,504,ew_spread_bp,55.10545134141624,15.223973222146656,3.6196497811263293,0.00029500201372598876,25.267012124406598,84.94389055842589,2266,2266,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,3,f_cumret3,3031789
li1_ridge_additive_cst_full_joint_raw_fixed504_union,ridge,characteristics_textcore,504,cap_spread_bp,35.66512743479757,16.65352758836653,2.1415959619097014,0.03222600896733131,3.0248131460549885,68.30544172354016,2266,2266,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,3,f_cumret3,3031789
li1_ols_additive_c_joint_raw_fixed504_union,ols,characteristics,504,rank_ic,0.09305138803435686,0.006683821851974568,13.921883331894485,4.664489990793768e-44,0.0799513379254049,0.10615143814330882,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,5,f_cumret5,3030544
li1_ols_additive_c_joint_raw_fixed504_union,ols,characteristics,504,ew_spread_bp,79.0299610196207,22.569330280062346,3.501652908568379,0.00046238155881968865,34.79488651550921,123.2650355237322,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,5,f_cumret5,3030544
li1_ols_additive_c_joint_raw_fixed504_union,ols,characteristics,504,cap_spread_bp,58.947119684335114,22.67306277319888,2.599874585713875,0.009325783599740636,14.508733229649472,103.38550613902075,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,5,f_cumret5,3030544
li1_ridge_additive_c_joint_raw_fixed504_union,ridge,characteristics,504,rank_ic,0.09403939239189632,0.0070344883163511954,13.368334434973482,9.259096586883979e-41,0.08025204864218018,0.10782673614161246,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,5,f_cumret5,3030544
