date,lr_2_rank_dgtw,lr_all_rank_dgtw,core_rank_dgtw,text_rank_dgtw,textcore_rank_dgtw
2012,-0.014428516482850665,0.0020401999462129165,-0.008924999976769658,0.015106843342473794,0.016196840908490072
2013,0.010489027763476627,0.011602668812240233,0.011802562540720445,0.02482206947260339,0.0252555334722654
2014,0.025040874551918703,0.02291542284594228,0.024871940634574555,0.03111807633591869,0.03170662989013242
2015,0.024159690257065262,0.023281541388036137,0.024528994500624565,0.024066017261799622,0.02449145808035109
2016,0.03131294618991513,0.030102614019804082,0.03362166635457962,0.033088863115164194,0.0343599615846936
2017,0.03247079318206261,0.029750849692552882,0.03214233468958629,0.032953448615370355,0.03580682438717331
2018,0.03025558273756467,0.027890378519539502,0.032677023198940815,0.036465497390863674,0.0380251220242718
2019,0.03226516239136473,0.034354708462977016,0.03233904302046036,0.03715849757084012,0.03743579667316159
2020,0.03833033678770142,0.03771972919292958,0.039563047390543234,0.04536424420253776,0.04696237202130872
2021,0.04621498179172511,0.038981319388798265,0.04656789979371409,0.04534775791069385,0.04682440250474212
2022,0.03510183237568028,0.035060151681228426,0.034789743263630706,0.0356146133628837,0.03740502376722607
