family,comparison,model_id,benchmark_id,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,metric,family_size,observed_family_size,p_bonferroni,target,period
social_information,additive_social_given_c,li1_enet_additive_cs_joint_raw_fixed504_union,li1_enet_additive_c_joint_raw_fixed504_union,0.001126663379140929,0.00029303300618276464,3.844834388513317,0.00012063388241984135,0.0005523292407412072,0.0017009975175406506,2266,2266,0,63,rank_ic,12,12,0.0014476065890380962,raw,full
estimator,versus_ols,li1_enet_additive_cs_joint_raw_fixed504_union,li1_ols_additive_cs_joint_raw_fixed504_union,0.0004270110099721013,0.00045416405393207637,0.9402131372465774,0.34710824445810073,-0.00046313417880747515,0.0013171561987516778,2266,2266,0,5,rank_ic,39,39,1.0,raw,full
estimator,versus_ols,li1_enet_additive_cs_joint_raw_fixed504_union,li1_ols_additive_cs_joint_raw_fixed504_union,0.0004270110099721013,0.0004924032202604726,0.8671978419357615,0.3858336185080591,-0.0005380815676099684,0.0013921035875541711,2266,2266,0,21,rank_ic,39,39,1.0,raw,full
estimator,versus_ols,li1_enet_additive_cs_joint_raw_fixed504_union,li1_ols_additive_cs_joint_raw_fixed504_union,0.0004270110099721013,0.0005237065643152628,0.815363104203994,0.41486449721086704,-0.0005994349945530232,0.001453457014497226,2266,2266,0,63,rank_ic,39,39,1.0,raw,full
estimator,enet_versus_ridge,li1_enet_additive_cs_joint_raw_fixed504_union,li1_ridge_additive_cs_joint_raw_fixed504_union,-0.0006334540389064867,0.00031775643360053627,-1.9935207345095836,0.04620445538695212,-0.0012562452046194308,-1.0662873193542578e-05,2266,2266,0,5,rank_ic,39,39,1.0,raw,full
estimator,enet_versus_ridge,li1_enet_additive_cs_joint_raw_fixed504_union,li1_ridge_additive_cs_joint_raw_fixed504_union,-0.0006334540389064867,0.0003293434475490096,-1.9233843685692957,0.05443179596624988,-0.0012789553346468018,1.204725683382835e-05,2266,2266,0,21,rank_ic,39,39,1.0,raw,full
estimator,enet_versus_ridge,li1_enet_additive_cs_joint_raw_fixed504_union,li1_ridge_additive_cs_joint_raw_fixed504_union,-0.0006334540389064867,0.00033745052013811085,-1.8771760631669152,0.06049396709938319,-0.0012948449049414923,2.7936827128518778e-05,2266,2266,0,63,rank_ic,39,39,1.0,raw,full
text_information,full_text_given_additive_cs,li1_ols_additive_cst_full_joint_raw_fixed504_union,li1_ols_additive_cs_joint_raw_fixed504_union,-0.004139286130949904,0.0006630173643297489,-6.243103655564664,4.2897241105214277e-10,-0.005438776286160884,-0.002839795975738925,2266,2266,0,5,rank_ic,18,18,7.72150339893857e-09,raw,full
text_information,full_text_given_additive_cs,li1_ols_additive_cst_full_joint_raw_fixed504_union,li1_ols_additive_cs_joint_raw_fixed504_union,-0.004139286130949904,0.0007433517745260077,-5.568408219095578,2.570769797318774e-08,-0.005596228836864819,-0.0026823434250349905,2266,2266,0,21,rank_ic,18,18,4.627385635173793e-07,raw,full
text_information,full_text_given_additive_cs,li1_ols_additive_cst_full_joint_raw_fixed504_union,li1_ols_additive_cs_joint_raw_fixed504_union,-0.004139286130949904,0.0009492601170540643,-4.360539389135797,1.2974222326969062e-05,-0.005999801772336146,-0.0022787704895636625,2266,2266,0,63,rank_ic,18,18,0.00023353600188544312,raw,full
text_information,full_text_given_additive_cs,li1_ridge_additive_cst_full_joint_raw_fixed504_union,li1_ridge_additive_cs_joint_raw_fixed504_union,-0.002115723253262891,0.00040982664895822853,-5.16248335397666,2.4369505160006327e-07,-0.0029189687251257586,-0.0013124777814000235,2266,2266,0,5,rank_ic,18,18,4.386510928801139e-06,raw,full
text_information,full_text_given_additive_cs,li1_ridge_additive_cst_full_joint_raw_fixed504_union,li1_ridge_additive_cs_joint_raw_fixed504_union,-0.002115723253262891,0.00040924944128527935,-5.169764549020029,2.3438911432740625e-07,-0.002917837418875178,-0.001313609087650604,2266,2266,0,21,rank_ic,18,18,4.219004057893313e-06,raw,full
text_information,full_text_given_additive_cs,li1_ridge_additive_cst_full_joint_raw_fixed504_union,li1_ridge_additive_cs_joint_raw_fixed504_union,-0.002115723253262891,0.0004182905413485198,-5.058023177961535,4.236249557771181e-07,-0.0029355576493797523,-0.00129588885714603,2266,2266,0,63,rank_ic,18,18,7.625249203988126e-06,raw,full
estimator,versus_ols,li1_ridge_additive_cst_full_joint_raw_fixed504_union,li1_ols_additive_cst_full_joint_raw_fixed504_union,0.003084027926565602,0.0007489771355099947,4.117652970094502,3.827504687327535e-05,0.001616059715722037,0.004551996137409167,2266,2266,0,5,rank_ic,39,39,0.0014927268280577387,raw,full
