model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,basis,interaction_term,n_features,representation,transform,penalty_grid,pca_grid,history_policy,refit_policy,target,year
li1_ols_additive_cst_full_joint_raw_fixed504_union,ols,characteristics_textcore,504,ew_spread_bp,30.909457698340056,10.877172097405518,2.8416814059338775,0.004487631282725583,9.59059213378124,52.22832326289887,252,252,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,2014
li1_ols_additive_cst_full_joint_raw_fixed504_union,ols,characteristics_textcore,504,cap_spread_bp,13.600979317650816,8.902134015122025,1.527833584008832,0.12655386158340456,-3.846882737537298,31.04884137283893,252,252,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,2014
li1_ridge_additive_cst_full_joint_raw_fixed504_union,ridge,characteristics_textcore,504,rank_ic,0.06970817359399314,0.010517013910333937,6.628133630735092,3.399576540201123e-11,0.04909520510483187,0.09032114208315442,252,252,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,2014
li1_ridge_additive_cst_full_joint_raw_fixed504_union,ridge,characteristics_textcore,504,ew_spread_bp,31.28722252378381,12.926417531749266,2.4204094016720092,0.015503041906138958,5.951909712428108,56.62253533513952,252,252,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,2014
li1_ridge_additive_cst_full_joint_raw_fixed504_union,ridge,characteristics_textcore,504,cap_spread_bp,29.47888610118026,13.259465932311896,2.22323329247699,0.0262000729917736,3.490810419613137,55.46696178274739,252,252,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,2014
li1_ols_additive_c_joint_raw_fixed504_union,ols,characteristics,504,rank_ic,0.06382927959288524,0.011844381597052811,5.388992162222097,7.085389550877652e-08,0.04061471824351273,0.08704384094225776,252,252,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,2015
li1_ols_additive_c_joint_raw_fixed504_union,ols,characteristics,504,ew_spread_bp,21.384953663293217,17.4736373857047,1.2238409892143232,0.2210122182576536,-12.862746291600615,55.63265361818705,252,252,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,2015
li1_ols_additive_c_joint_raw_fixed504_union,ols,characteristics,504,cap_spread_bp,13.453798680438457,16.968772796405936,0.7928563156487093,0.42786154128311304,-19.804384862360198,46.711982223237115,252,252,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,2015
li1_ridge_additive_c_joint_raw_fixed504_union,ridge,characteristics,504,rank_ic,0.06386499588693939,0.012015053870308061,5.3154148600835125,1.0641459787022411e-07,0.04031592302882701,0.08741406874505178,252,252,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,2015
li1_ridge_additive_c_joint_raw_fixed504_union,ridge,characteristics,504,ew_spread_bp,27.069844693894982,17.48131055560785,1.5485020192156713,0.12150147595198196,-7.192894397656286,61.332583785446246,252,252,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,2015
li1_ridge_additive_c_joint_raw_fixed504_union,ridge,characteristics,504,cap_spread_bp,17.710710439105696,18.09722375916006,0.9786423970218788,0.32775670303919524,-17.759196349010587,53.18061722722198,252,252,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,2015
li1_enet_additive_c_joint_raw_fixed504_union,enet,characteristics,504,rank_ic,0.06388438188086727,0.012070750627478722,5.292494547558317,1.2065906831338695e-07,0.040226145384644724,0.08754261837708982,252,252,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,2015
li1_enet_additive_c_joint_raw_fixed504_union,enet,characteristics,504,ew_spread_bp,22.591383538840386,17.517627310782714,1.2896371830524445,0.19717665925553696,-11.742535084888974,56.92530216256975,252,252,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,2015
li1_enet_additive_c_joint_raw_fixed504_union,enet,characteristics,504,cap_spread_bp,15.306080126083241,17.84998889327298,0.8574840140013507,0.39117744587701797,-19.679255229171776,50.29141548133826,252,252,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,2015
li1_ols_additive_cs_joint_raw_fixed504_union,ols,characteristics_core,504,rank_ic,0.06472032926757189,0.011801174783911121,5.484227668232401,4.1527967582272457e-08,0.041590451715843836,0.08785020681929995,252,252,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,2015
li1_ols_additive_cs_joint_raw_fixed504_union,ols,characteristics_core,504,ew_spread_bp,24.74765202579304,17.1392170749498,1.4439196328263741,0.1487615833552253,-8.8445961643225,58.339900215908585,252,252,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,2015
li1_ols_additive_cs_joint_raw_fixed504_union,ols,characteristics_core,504,cap_spread_bp,12.954290870973265,16.14956044623266,0.8021451056889427,0.4224690259207694,-18.69826596979535,44.60684771174188,252,252,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,2015
li1_ridge_additive_cs_joint_raw_fixed504_union,ridge,characteristics_core,504,rank_ic,0.06487202979463619,0.011985186128316856,5.412684383880029,6.208686899469403e-08,0.0413814966351261,0.08836256295414627,252,252,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,2015
li1_ridge_additive_cs_joint_raw_fixed504_union,ridge,characteristics_core,504,ew_spread_bp,29.480985807028837,17.10917911080982,1.7231093096922656,0.0848687595953257,-4.0523890552034345,63.01436066926111,252,252,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,2015
li1_ridge_additive_cs_joint_raw_fixed504_union,ridge,characteristics_core,504,cap_spread_bp,19.86739584215234,17.274821000676155,1.1500782463317396,0.2501116452090597,-13.9906311585491,53.72542284285378,252,252,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,2015
li1_enet_additive_cs_joint_raw_fixed504_union,enet,characteristics_core,504,rank_ic,0.06518989818143966,0.01199147217424818,5.436354872376363,5.438159393498644e-08,0.041687044598299014,0.08869275176458032,252,252,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,2015
li1_enet_additive_cs_joint_raw_fixed504_union,enet,characteristics_core,504,ew_spread_bp,25.984222928316452,17.253899275768166,1.5059913421894948,0.13206939622620487,-7.832798245070872,59.80124410170377,252,252,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,2015
li1_enet_additive_cs_joint_raw_fixed504_union,enet,characteristics_core,504,cap_spread_bp,20.425878746371353,18.0177058156913,1.1336559135393818,0.25693890923699747,-14.888175736421474,55.73993322916418,252,252,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,2015
li1_ols_additive_cst_full_joint_raw_fixed504_union,ols,characteristics_textcore,504,rank_ic,0.05933469430472281,0.010325425436917017,5.746464847112301,9.112856541041689e-09,0.039097232323311706,0.07957215628613391,252,252,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,2015
li1_ols_additive_cst_full_joint_raw_fixed504_union,ols,characteristics_textcore,504,ew_spread_bp,26.602577705646425,16.580755752359064,1.6044249190427573,0.10862042188382637,-5.895106405432671,59.10026181672552,252,252,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,2015
li1_ols_additive_cst_full_joint_raw_fixed504_union,ols,characteristics_textcore,504,cap_spread_bp,11.66517182373099,14.255058038585391,0.8183180869664555,0.4131755809381733,-16.274228529424562,39.60457217688654,252,252,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,2015
li1_ridge_additive_cst_full_joint_raw_fixed504_union,ridge,characteristics_textcore,504,rank_ic,0.0615356840572953,0.011269367308082458,5.46043822825453,4.7496072876810053e-08,0.039448130004900585,0.08362323810969002,252,252,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,2015
li1_ridge_additive_cst_full_joint_raw_fixed504_union,ridge,characteristics_textcore,504,ew_spread_bp,25.744827082223278,16.26787665979104,1.5825560778842278,0.11352268117740719,-6.139625275906912,57.62927944035347,252,252,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,2015
li1_ridge_additive_cst_full_joint_raw_fixed504_union,ridge,characteristics_textcore,504,cap_spread_bp,12.64916098756575,16.490126691983615,0.7670748214272312,0.4430370310735334,-19.670893429224755,44.969215404356255,252,252,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,2015
li1_ols_additive_c_joint_raw_fixed504_union,ols,characteristics,504,rank_ic,0.05496101047668915,0.011872994873234316,4.62907725165363,3.6729873817553366e-06,0.03169036813652119,0.07823165281685712,252,252,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,2016
li1_ols_additive_c_joint_raw_fixed504_union,ols,characteristics,504,ew_spread_bp,11.217986094428072,23.560006770486247,0.47614528313637444,0.6339708780110044,-34.958778651244806,57.39475084010095,252,252,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,2016
li1_ols_additive_c_joint_raw_fixed504_union,ols,characteristics,504,cap_spread_bp,1.6432466694858152,22.44454015805655,0.07321364830439468,0.9416361057596346,-42.34724368986796,45.63373702883958,252,252,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,2016
li1_ridge_additive_c_joint_raw_fixed504_union,ridge,characteristics,504,rank_ic,0.0547400732309147,0.012025027665152581,4.552178569164242,5.309324084271507e-06,0.03117145209411786,0.07830869436771154,252,252,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,2016
li1_ridge_additive_c_joint_raw_fixed504_union,ridge,characteristics,504,ew_spread_bp,8.45183790478178,23.790099874894214,0.3552670207030546,0.7223895597165331,-38.17590103862173,55.07957684818528,252,252,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,2016
li1_ridge_additive_c_joint_raw_fixed504_union,ridge,characteristics,504,cap_spread_bp,2.7337761345544913,24.136083625264494,0.11326510866464291,0.9098203784411569,-44.57207849881086,50.03963076791984,252,252,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,2016
li1_enet_additive_c_joint_raw_fixed504_union,enet,characteristics,504,rank_ic,0.0543883683206547,0.012058710587280703,4.510297177048308,6.473687134054753e-06,0.030753729869592673,0.07802300677171672,252,252,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,2016
li1_enet_additive_c_joint_raw_fixed504_union,enet,characteristics,504,ew_spread_bp,9.88722292501497,23.90353429784021,0.4136301687365255,0.679144975488662,-36.962843401969764,56.73728925199971,252,252,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,2016
li1_enet_additive_c_joint_raw_fixed504_union,enet,characteristics,504,cap_spread_bp,2.6661758345426847,24.249297712967074,0.1099485793816195,0.9124501552798491,-44.86157433326228,50.19392600234765,252,252,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,2016
li1_ols_additive_cs_joint_raw_fixed504_union,ols,characteristics_core,504,rank_ic,0.05589563953476916,0.011510038400691596,4.856251351117177,1.1962883370465741e-06,0.03333637880874063,0.0784549002607977,252,252,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,2016
li1_ols_additive_cs_joint_raw_fixed504_union,ols,characteristics_core,504,ew_spread_bp,11.57027419116454,23.72098231032432,0.4877653901427469,0.62571602876538,-34.92199681498285,58.062545197311934,252,252,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,2016
li1_ols_additive_cs_joint_raw_fixed504_union,ols,characteristics_core,504,cap_spread_bp,3.8404611865211398,21.94132096467557,0.17503327136520588,0.861053490352214,-39.16373767747661,46.84466005051889,252,252,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,2016
li1_ridge_additive_cs_joint_raw_fixed504_union,ridge,characteristics_core,504,rank_ic,0.055738196447188304,0.011658840233651796,4.780766811291136,1.7462782590954502e-06,0.032887289487724236,0.07858910340665237,252,252,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,2016
li1_ridge_additive_cs_joint_raw_fixed504_union,ridge,characteristics_core,504,ew_spread_bp,14.89926076125541,24.214398507416135,0.6153058378341391,0.5383527629627542,-32.56008822058065,62.35860974309148,252,252,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,2016
li1_ridge_additive_cs_joint_raw_fixed504_union,ridge,characteristics_core,504,cap_spread_bp,9.037104518520904,22.404641701417273,0.4033585825186053,0.6866844510169063,-34.875186302781145,52.949395339822956,252,252,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,2016
li1_enet_additive_cs_joint_raw_fixed504_union,enet,characteristics_core,504,rank_ic,0.055911598070517515,0.011749676154935045,4.758565030495227,1.9497407889397474e-06,0.03288265597683576,0.07894054016419927,252,252,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,2016
li1_enet_additive_cs_joint_raw_fixed504_union,enet,characteristics_core,504,ew_spread_bp,14.168443879264288,24.226772414964877,0.584825895772746,0.5586647901764681,-33.31515751571534,61.65204527424392,252,252,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,2016
li1_enet_additive_cs_joint_raw_fixed504_union,enet,characteristics_core,504,cap_spread_bp,7.980849986775219,22.85423735795666,0.34920657652121134,0.7269342292743567,-36.81263212894967,52.77433210250011,252,252,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,2016
li1_ols_additive_cst_full_joint_raw_fixed504_union,ols,characteristics_textcore,504,rank_ic,0.05273899394434417,0.01018167716940884,5.179794356749013,2.2213063984035272e-07,0.03278327339008912,0.07269471449859921,252,252,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,2016
