model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,representation,history_policy,refit_policy,target,horizon,target_column,stock_days
ld2_lasso_characteristics_full_raw_fixed504_retain,lasso,characteristics,504,cap_spread_bp,42.960082779726726,15.684270487460605,2.7390552091072915,0.006161602552083369,12.219477500519464,73.70068805893399,2266,2266,0,5,full,fixed504,retain,raw,3,f_cumret3,3031789
ld2_lasso_characteristics_full_raw_fixed504_recent,lasso,characteristics,504,rank_ic,0.0842480689621224,0.0057117841123172156,14.749869271222119,3.0826124087223035e-49,0.07305317781451258,0.09544296010973223,2266,2266,0,5,full,fixed504,recent,raw,3,f_cumret3,3031789
ld2_lasso_characteristics_full_raw_fixed504_recent,lasso,characteristics,504,ew_spread_bp,48.99886513188221,15.30948800700846,3.2005554404857466,0.0013716297900361561,18.99282001639774,79.00491024736668,2266,2266,0,5,full,fixed504,recent,raw,3,f_cumret3,3031789
ld2_lasso_characteristics_full_raw_fixed504_recent,lasso,characteristics,504,cap_spread_bp,32.922728908004665,15.72959762497851,2.0930432991956236,0.036345289512241676,2.093284071740012,63.752173744269314,2266,2266,0,5,full,fixed504,recent,raw,3,f_cumret3,3031789
ld2_lasso_characteristics_full_raw_fixed504_union,lasso,characteristics,504,rank_ic,0.0850180020900652,0.0057630375690834795,14.752290102385361,2.9739912667187936e-49,0.07372265601311032,0.09631334816702009,2266,2266,0,5,full,fixed504,union,raw,3,f_cumret3,3031789
ld2_lasso_characteristics_full_raw_fixed504_union,lasso,characteristics,504,ew_spread_bp,48.61586237847854,15.410402236675251,3.154743246271505,0.001606394058590556,18.412029007319553,78.81969574963753,2266,2266,0,5,full,fixed504,union,raw,3,f_cumret3,3031789
ld2_lasso_characteristics_full_raw_fixed504_union,lasso,characteristics,504,cap_spread_bp,38.86705869599357,15.725387291339162,2.471612175644145,0.013450534517260178,8.045865962024937,69.68825142996221,2266,2266,0,5,full,fixed504,union,raw,3,f_cumret3,3031789
ld2_enet_characteristics_full_raw_fixed504_retain,enet,characteristics,504,rank_ic,0.08473526081411395,0.005761963907067345,14.705968690671908,5.902025043039293e-49,0.07344201907604225,0.09602850255218565,2266,2266,0,5,full,fixed504,retain,raw,3,f_cumret3,3031789
ld2_enet_characteristics_full_raw_fixed504_retain,enet,characteristics,504,ew_spread_bp,50.81205843964914,15.373605470446728,3.3051491100982857,0.0009492588323445751,20.6803454050456,80.94377147425269,2266,2266,0,5,full,fixed504,retain,raw,3,f_cumret3,3031789
ld2_enet_characteristics_full_raw_fixed504_retain,enet,characteristics,504,cap_spread_bp,43.64701095739332,15.76871148901859,2.767950379952688,0.005641004349342186,12.740904356313916,74.55311755847272,2266,2266,0,5,full,fixed504,retain,raw,3,f_cumret3,3031789
ld2_enet_characteristics_full_raw_fixed504_recent,enet,characteristics,504,rank_ic,0.08408099432133234,0.0057289505493982925,14.676509003933244,9.116463043814893e-49,0.07285245757530073,0.09530953106736395,2266,2266,0,5,full,fixed504,recent,raw,3,f_cumret3,3031789
ld2_enet_characteristics_full_raw_fixed504_recent,enet,characteristics,504,ew_spread_bp,49.53428845164493,15.315736662056109,3.234208679910474,0.0012198029270965552,19.515996197315253,79.5525807059746,2266,2266,0,5,full,fixed504,recent,raw,3,f_cumret3,3031789
ld2_enet_characteristics_full_raw_fixed504_recent,enet,characteristics,504,cap_spread_bp,33.97973670492959,15.744143354778595,2.1582461452001582,0.030908699409093004,3.121782762127925,64.83769064773126,2266,2266,0,5,full,fixed504,recent,raw,3,f_cumret3,3031789
