target,model_id,eligible_stock_days,prediction_stock_days,evaluated_stock_days,missing_prediction_stock_days,common_prediction_stock_days,common_scored_stock_days
dgtw,li1_ols_agreement_c_joint_dgtw_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,li1_ridge_agreement_c_joint_dgtw_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,li1_enet_agreement_c_joint_dgtw_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,li1_ols_text_c_joint_dgtw_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,li1_ridge_text_c_joint_dgtw_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,li1_enet_text_c_joint_dgtw_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,li1_ols_text_s_joint_dgtw_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,li1_ridge_text_s_joint_dgtw_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,li1_enet_text_s_joint_dgtw_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,li1_ridge_single_social192_net_sentiment__x__char_ret1_dgtw_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,li1_ridge_single_social192_net_sentiment__x__char_ret5_dgtw_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,li1_ridge_single_social192_net_sentiment__x__char_ret21_dgtw_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,li1_ridge_single_social192_net_sentiment__x__char_ret63_dgtw_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,li1_ridge_single_social192_net_sentiment__x__char_ret126_dgtw_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,li1_ridge_single_social192_net_sentiment__x__char_ret252_dgtw_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,li1_ridge_single_social192_net_sentiment__x__char_momentum252_skip21_dgtw_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,li1_ridge_single_social192_net_sentiment__x__char_log_market_cap_dgtw_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,li1_ridge_single_social192_net_sentiment__x__char_log_price_dgtw_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,li1_ridge_single_social192_net_sentiment__x__char_turnover1_dgtw_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,li1_ridge_single_social192_net_sentiment__x__char_turnover21_dgtw_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,li1_ridge_single_social192_net_sentiment__x__char_log_dollar_volume1_dgtw_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,li1_ridge_single_social192_net_sentiment__x__char_log_dollar_volume21_dgtw_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,li1_ridge_single_social192_net_sentiment__x__char_volatility21_dgtw_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,li1_ridge_single_social192_net_sentiment__x__char_volatility63_dgtw_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,li1_ridge_single_social192_net_sentiment__x__char_max_return21_dgtw_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,li1_ridge_single_social192_net_sentiment__x__char_amihud21_dgtw_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,li1_ridge_single_social192_log_volume__x__char_ret1_dgtw_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,li1_ridge_single_social192_log_volume__x__char_ret5_dgtw_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,li1_ridge_single_social192_log_volume__x__char_ret21_dgtw_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,li1_ridge_single_social192_log_volume__x__char_ret63_dgtw_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,li1_ridge_single_social192_log_volume__x__char_ret126_dgtw_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
dgtw,li1_ridge_single_social192_log_volume__x__char_ret252_dgtw_fixed504_union,3034035,3034035,2748978,0,3034035,2748978
