model,rank_corr,rank_corr_t,spread_bp,spread_t,D1_bp,D10_bp,n_days
lr_all_rank_dgtw,0.026717208491644884,20.2086496671951,19.749645687807178,7.953593824086886,-18.78599892311925,0.9636467646879232,2768
core_rank_dgtw,0.027659167741930776,18.797601107134632,18.189119822652042,7.313284313043844,-19.73318496767892,-1.544065145026902,2768
all_rank_dgtw,0.02718210303329318,21.0588710627625,21.49553084279032,8.921834805148494,-20.761470450690915,0.734060392099425,2768
text_rank_dgtw,0.03284277854067849,26.61487003697237,13.648821391730573,5.603585687329696,-12.033313944818856,1.6155074469117212,2768
textcore_rank_dgtw,0.03405699529592028,27.58890492053549,20.14122855139424,7.798958741835824,-18.92814542370089,1.2130831276933485,2768
textall_rank_dgtw,0.03363292096576559,28.249035451092805,20.337369999241318,8.544829086438714,-18.75591932712866,1.5814506721126644,2768
