model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,representation,transform,penalty_grid,pca_grid,history_policy,refit_policy,target,period
ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,ols,characteristics_core,504,ew_spread_bp,25.09723833034942,5.665313686069622,4.4299821194474625,9.424090173239631e-06,13.993427544531103,36.20104911616774,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,full
ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,ols,characteristics_core,504,cap_spread_bp,9.995546420143127,6.4028539557615245,1.5611079823472727,0.11849827500094033,-2.5538167314192783,22.54490957170553,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,full
ld3_ridge_characteristics_core_full_raw_standard_original_none_fixed504_union,ridge,characteristics_core,504,rank_ic,0.07042372997016452,0.003610860233020657,19.503310963451973,1.0290036960616704e-84,0.06334657396023613,0.07750088598009292,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,full
ld3_ridge_characteristics_core_full_raw_standard_original_none_fixed504_union,ridge,characteristics_core,504,ew_spread_bp,24.465412416354358,5.966177315876494,4.100684763634138,4.1192939005723507e-05,12.771919751856581,36.158905080852136,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,full
ld3_ridge_characteristics_core_full_raw_standard_original_none_fixed504_union,ridge,characteristics_core,504,cap_spread_bp,14.70069537569908,6.8544962172143515,2.1446791871851674,0.03197850608338497,1.2661296577929129,28.135261093605248,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,full
ld3_ridge_characteristics_core_full_raw_standard_expanded_none_fixed504_union,ridge,characteristics_core,504,rank_ic,0.07033965877371132,0.0036141360824425185,19.462371413024968,2.289423852806893e-84,0.0632560822168973,0.07742323533052534,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,full
ld3_ridge_characteristics_core_full_raw_standard_expanded_none_fixed504_union,ridge,characteristics_core,504,ew_spread_bp,23.919371659129798,5.96566490728737,4.00950640554937,6.0845802582879744e-05,12.226883297012073,35.61186002124752,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,full
ld3_ridge_characteristics_core_full_raw_standard_expanded_none_fixed504_union,ridge,characteristics_core,504,cap_spread_bp,12.920794232870776,6.974255556212676,1.852641350568365,0.06393378146365589,-0.7484954762844325,26.590083942025984,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,full
ld3_lasso_characteristics_core_full_raw_standard_original_none_fixed504_union,lasso,characteristics_core,504,rank_ic,0.06989920739297881,0.0035730584187602587,19.56285042135742,3.2064190120037963e-85,0.06289614157755107,0.07690227320840655,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,full
ld3_lasso_characteristics_core_full_raw_standard_original_none_fixed504_union,lasso,characteristics_core,504,ew_spread_bp,24.180967973463744,5.873471046806852,4.1169808756629305,3.8386791232858524e-05,12.669176257483544,35.692759689443946,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,full
ld3_lasso_characteristics_core_full_raw_standard_original_none_fixed504_union,lasso,characteristics_core,504,cap_spread_bp,16.860679149842344,6.610589079967857,2.550556228178734,0.01075511736748864,3.904162636511572,29.817195663173116,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,full
ld3_lasso_characteristics_core_full_raw_standard_expanded_none_fixed504_union,lasso,characteristics_core,504,rank_ic,0.06969856104342907,0.0035811734479897096,19.462492408055336,2.284024803155907e-84,0.06267959006297812,0.07671753202388003,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,full
ld3_lasso_characteristics_core_full_raw_standard_expanded_none_fixed504_union,lasso,characteristics_core,504,ew_spread_bp,22.935763791582147,5.916057513097704,3.876866264535816,0.00010581047895152427,11.340504135443048,34.531023447721246,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,full
ld3_lasso_characteristics_core_full_raw_standard_expanded_none_fixed504_union,lasso,characteristics_core,504,cap_spread_bp,14.318468010412,6.592866272877064,2.1718122919189073,0.029869824154631366,1.3966875606841338,27.240248460139867,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,full
ld3_enet_characteristics_core_full_raw_standard_original_none_fixed504_union,enet,characteristics_core,504,rank_ic,0.06979027593125804,0.003583250310705115,19.47680733404434,1.7271992054692718e-84,0.06276723437468405,0.07681331748783203,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,full
ld3_enet_characteristics_core_full_raw_standard_original_none_fixed504_union,enet,characteristics_core,504,ew_spread_bp,23.863996568383563,5.895224335038992,4.0480217905440785,5.165233863522485e-05,12.30956919092305,35.418423945844076,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,full
ld3_enet_characteristics_core_full_raw_standard_original_none_fixed504_union,enet,characteristics_core,504,cap_spread_bp,15.957028521436017,6.67442764806429,2.3907710687468247,0.016813032822328548,2.8753907138116297,29.038666329060405,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,full
ld3_enet_characteristics_core_full_raw_standard_expanded_none_fixed504_union,enet,characteristics_core,504,rank_ic,0.06976526831638798,0.0035939754669294085,19.411726362170597,6.142811296190447e-84,0.06272120583988582,0.07680933079289014,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,full
ld3_enet_characteristics_core_full_raw_standard_expanded_none_fixed504_union,enet,characteristics_core,504,ew_spread_bp,24.05391462443214,5.879002516368965,4.091495888538674,4.2859954633382724e-05,12.531281427328617,35.57654782153566,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,full
ld3_enet_characteristics_core_full_raw_standard_expanded_none_fixed504_union,enet,characteristics_core,504,cap_spread_bp,14.729736046768384,6.53952594432441,2.252416485869618,0.024295964880137504,1.9125007199272535,27.546971373609516,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,full
ld3_group_ridge_characteristics_core_full_raw_standard_original_none_fixed504_union,group_ridge,characteristics_core,504,rank_ic,0.07036325127200087,0.003621302841541566,19.430369220942502,4.27277605171546e-84,0.06326562812546684,0.0774608744185349,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,full
ld3_group_ridge_characteristics_core_full_raw_standard_original_none_fixed504_union,group_ridge,characteristics_core,504,ew_spread_bp,24.1743741431027,5.9375262839856555,4.0714555164672515,4.6720285217389196e-05,12.537036469230873,35.81171181697452,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,full
ld3_group_ridge_characteristics_core_full_raw_standard_original_none_fixed504_union,group_ridge,characteristics_core,504,cap_spread_bp,13.823115698341097,6.8228869487703205,2.0259921939396075,0.04276558458190394,0.4505030081628867,27.195728388519306,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,full
ld3_group_ridge_characteristics_core_full_raw_standard_expanded_none_fixed504_union,group_ridge,characteristics_core,504,rank_ic,0.07027740936765536,0.0036225599298244705,19.39993008509334,7.727641580232016e-84,0.06317732237336146,0.07737749636194927,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,full
ld3_group_ridge_characteristics_core_full_raw_standard_expanded_none_fixed504_union,group_ridge,characteristics_core,504,ew_spread_bp,23.51313203164696,5.924748713985038,3.968629416492471,7.228719577884642e-05,11.900837934786285,35.12542612850764,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,full
ld3_group_ridge_characteristics_core_full_raw_standard_expanded_none_fixed504_union,group_ridge,characteristics_core,504,cap_spread_bp,12.958843625169797,6.924955396730794,1.871325211897761,0.06130001804711561,-0.6138195469688412,26.531506797308435,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,full
ld3_ols_characteristics_textcore_full_raw_standard_original_none_fixed504_union,ols,characteristics_textcore,504,rank_ic,0.06522397879033603,0.0030668518241922862,21.267404664232192,2.2752568493669083e-100,0.05921305966899819,0.07123489791167388,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,full
