model,rank_corr,rank_corr_t,spread_bp,spread_t,D1_bp,D10_bp,spread_sharpe,long_sharpe,short_sharpe,n_days,n_spread_days,delta_rank_corr_mean,delta_rank_corr_se,delta_rank_corr_t,delta_rank_corr_p,delta_rank_corr_ci_low,delta_rank_corr_ci_high,delta_rank_corr_n,delta_rank_corr_p_bonferroni,delta_spread_bp_mean,delta_spread_bp_se,delta_spread_bp_t,delta_spread_bp_p,delta_spread_bp_ci_low,delta_spread_bp_ci_high,delta_spread_bp_n,delta_spread_bp_p_bonferroni
core_rank,0.03066887256862409,16.864151875466437,21.294951637421427,6.778950477899574,-22.211037291238892,-0.9160856538174631,2.324309389597433,-0.22121644162244627,3.3898567575003518,2768,2768,0.0,0.0,0.0,1.0,0.0,0.0,2768,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2768,1.0
all_ols,0.03056020956713406,19.268106494125455,24.554570204608133,7.8730304256492065,-22.811778506679918,1.7427916979282096,2.6488984485733336,0.39985433235745127,3.317956977156627,2768,2768,-0.00010866300149002737,0.0010861669467959166,-0.10004263323476394,0.9203104787758085,-0.0022375110984078567,0.0020201850954278027,2768,1.0,3.2596185671867026,1.7704162695819274,1.8411594059494507,0.06559820219900389,-0.21033355883762894,6.729570693211037,2768,0.39358921319402335
textcore_ols,0.03724669454655005,20.57814605188586,22.30818845031484,6.8820966222681745,-19.22543251697923,3.082755933335614,2.4070554159595,0.8465424000981181,2.731093963737729,2768,2768,0.006577821977925964,0.00120077962590744,5.477959349081267,4.302589430506291e-08,0.004224337157777905,0.008931306798074029,2768,2.5815536583037747e-07,1.0132368128934108,2.0165591552819446,0.502458264236611,0.6153452033310356,-2.9391465041537135,4.965620129940538,2768,1.0
textcore_ridge_rc,0.03934903525756797,19.973894653203175,23.01761866363172,6.795611065387794,-20.08756815851002,2.9300505051217014,2.415163533521343,0.7812234625334844,2.8418021566415996,2768,2768,0.008680162688943883,0.0011564502618222785,7.505867719089017,6.102301591947804e-14,0.006413561825860301,0.010946763552027464,2768,3.6613809551686824e-13,1.722667026210293,2.08499271685304,0.82622208331278,0.40867812335304954,-2.3638436068499855,5.80917765927057,2768,1.0
textcore_enet_rc,0.03959636341096721,19.47131421670688,22.99808624597849,6.66124624273023,-20.608389401994494,2.389696843983999,2.3498392623310975,0.6258165294456315,2.8291791910852275,2768,2768,0.008927490842343124,0.0011616591613854465,7.685120678337183,1.5285284178953037e-14,0.006650680723716648,0.011204300960969603,2768,9.171170507371822e-14,1.703134608557063,2.1028473726473504,0.8099183187094198,0.41798712262093807,-2.418370506816422,5.824639723930548,2768,1.0
textcore_lasso_rc,0.03819882365391263,20.278692679246124,25.0941861336774,7.676086981226193,-22.698355331217652,2.395830802459748,2.6799567357087577,0.6522452002668204,3.2353199469425573,2768,2768,0.007529951085288548,0.0010990875697939042,6.851092935843619,7.328788212119823e-12,0.005375779032636843,0.009684123137940252,2768,4.397272927271894e-11,3.799234496255972,2.010636709718894,1.889567855740156,0.058815779603868315,-0.14154104078717467,7.7400100332991215,2768,0.3528946776232099
textcore_lasso_sse,0.035751809284612905,18.80845890192458,25.41910778777904,7.927894805246604,-23.44721541469461,1.9718923730844287,2.814267653997477,0.6205174624313873,3.4566734691977543,2768,2768,0.005082936715988818,0.00097316881151815,5.223078109191973,1.7597311637669835e-07,0.003175560894535596,0.006990312537442041,2768,1.05583869826019e-06,4.12415615035761,1.7211289737395663,2.396192390740417,0.01656639227125996,0.7508053490796773,7.497506951635547,2768,0.09939835362755978
