model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,representation,transform,penalty_grid,pca_grid,history_policy,refit_policy,target,horizon,target_column,stock_days
ld3_enet_characteristics_full_raw_standard_expanded_none_fixed504_union,enet,characteristics,504,rank_ic,0.08436211477302823,0.005806666154581655,14.528494066507282,7.995897523269035e-48,0.07298125823980049,0.09574297130625596,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,3,f_cumret3,3031789
ld3_enet_characteristics_full_raw_standard_expanded_none_fixed504_union,enet,characteristics,504,ew_spread_bp,44.711287995198134,15.80375007959575,2.829156862770499,0.004667081759600655,13.736507018518452,75.68606897187782,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,3,f_cumret3,3031789
ld3_enet_characteristics_full_raw_standard_expanded_none_fixed504_union,enet,characteristics,504,cap_spread_bp,33.817956363563624,16.202103076000643,2.0872572038907995,0.03686489106157645,2.0624178607967387,65.5734948663305,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,3,f_cumret3,3031789
ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,ols,characteristics_core,504,rank_ic,0.08543319627426574,0.0054812735219690245,15.58637713149111,9.01005023646186e-55,0.07469009758179343,0.09617629496673805,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,3,f_cumret3,3031789
ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,ols,characteristics_core,504,ew_spread_bp,61.500559835686936,14.831363867400846,4.146655721316662,3.373667578546814e-05,32.431620813972586,90.56949885740129,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,3,f_cumret3,3031789
ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,ols,characteristics_core,504,cap_spread_bp,36.04587419756707,15.106080141954155,2.386183169878516,0.01702426940162258,6.438501171761221,65.65324722337293,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,3,f_cumret3,3031789
ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,ols,characteristics,504,rank_ic,0.09305138803435686,0.006683821851974568,13.921883331894485,4.664489990793768e-44,0.0799513379254049,0.10615143814330882,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,5,f_cumret5,3030544
ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,ols,characteristics,504,ew_spread_bp,79.0299610196207,22.569330280062346,3.501652908568379,0.00046238155881968865,34.79488651550921,123.2650355237322,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,5,f_cumret5,3030544
ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,ols,characteristics,504,cap_spread_bp,58.947119684335114,22.67306277319888,2.599874585713875,0.009325783599740636,14.508733229649472,103.38550613902075,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,5,f_cumret5,3030544
ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ridge,characteristics,504,rank_ic,0.09403939239189632,0.0070344883163511954,13.368334434973482,9.259096586883979e-41,0.08025204864218018,0.10782673614161246,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,5,f_cumret5,3030544
