model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,basis,interaction_term,n_features,representation,transform,penalty_grid,pca_grid,history_policy,refit_policy,target,period
li1_ridge_additive_cst_full_joint_raw_fixed504_union,ridge,characteristics_textcore,504,ew_spread_bp,23.103203879495393,5.64406562813879,4.093362019802381,4.251631223990105e-05,12.041038521962927,34.16536923702786,2266,2266,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,full
li1_ridge_additive_cst_full_joint_raw_fixed504_union,ridge,characteristics_textcore,504,cap_spread_bp,11.41668688330887,6.807321771988948,1.677118735636492,0.09351926579169582,-1.9254186209648498,24.758792387582588,2266,2266,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,full
li1_enet_additive_cst_full_joint_raw_fixed504_union,enet,characteristics_textcore,504,rank_ic,0.06948750280678356,0.0035495539409016856,19.576404236621293,2.4576917695425112e-85,0.06253050492143404,0.07644450069213309,2266,2266,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,full
li1_enet_additive_cst_full_joint_raw_fixed504_union,enet,characteristics_textcore,504,ew_spread_bp,23.48435477838535,5.8675514741034345,4.002411377562525,6.270015664890051e-05,11.984165211707714,34.984544345062986,2266,2266,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,full
li1_enet_additive_cst_full_joint_raw_fixed504_union,enet,characteristics_textcore,504,cap_spread_bp,10.773379297291493,6.875220551350032,1.5669867194552778,0.11711779587271715,-2.701805369124182,24.24856396370717,2266,2266,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,full
li1_ols_c_squares_joint_raw_fixed504_union,ols,characteristics,504,rank_ic,0.06711936901038335,0.0031134215831147465,21.55807275648016,4.447455557982255e-103,0.06101717483878876,0.07322156318197792,2266,2266,0,5,c_squares,,51,explicit,standard,original,none,fixed504,union,raw,full
li1_ols_c_squares_joint_raw_fixed504_union,ols,characteristics,504,ew_spread_bp,25.761761011721994,5.5216809159604106,4.665564961795902,3.0777024078805358e-06,14.939465282317453,36.58405674112653,2266,2266,0,5,c_squares,,51,explicit,standard,original,none,fixed504,union,raw,full
li1_ols_c_squares_joint_raw_fixed504_union,ols,characteristics,504,cap_spread_bp,20.382948965236505,6.761848335813024,3.0144049308650636,0.002574838935427848,7.129969758120877,33.63592817235213,2266,2266,0,5,c_squares,,51,explicit,standard,original,none,fixed504,union,raw,full
li1_ridge_c_squares_joint_raw_fixed504_union,ridge,characteristics,504,rank_ic,0.06717349918919997,0.0032320473512043243,20.783575204790797,6.094663851064439e-96,0.06083880278451142,0.07350819559388853,2266,2266,0,5,c_squares,,51,explicit,standard,original,none,fixed504,union,raw,full
li1_ridge_c_squares_joint_raw_fixed504_union,ridge,characteristics,504,ew_spread_bp,20.45972960613231,5.685579082308349,3.5985304768332664,0.00032002035323349336,9.316199373553655,31.603259838710965,2266,2266,0,5,c_squares,,51,explicit,standard,original,none,fixed504,union,raw,full
li1_ridge_c_squares_joint_raw_fixed504_union,ridge,characteristics,504,cap_spread_bp,15.367334233332732,7.1888254605735815,2.137669681593105,0.03254356186521751,1.2774952394639456,29.45717322720152,2266,2266,0,5,c_squares,,51,explicit,standard,original,none,fixed504,union,raw,full
li1_enet_c_squares_joint_raw_fixed504_union,enet,characteristics,504,rank_ic,0.06720002392859549,0.003307266458224957,20.318902264882045,8.751134351513815e-92,0.060717900783197234,0.07368214707399375,2266,2266,0,5,c_squares,,51,explicit,standard,original,none,fixed504,union,raw,full
li1_enet_c_squares_joint_raw_fixed504_union,enet,characteristics,504,ew_spread_bp,21.131308241109675,5.677449390670088,3.7219721017390923,0.0001976728673403171,10.003711911347429,32.25890457087192,2266,2266,0,5,c_squares,,51,explicit,standard,original,none,fixed504,union,raw,full
li1_enet_c_squares_joint_raw_fixed504_union,enet,characteristics,504,cap_spread_bp,18.775810328399896,6.808353976392641,2.7577605972755443,0.005819880365474917,5.431681740670253,32.11993891612954,2266,2266,0,5,c_squares,,51,explicit,standard,original,none,fixed504,union,raw,full
li1_ols_c_quadratic_joint_raw_fixed504_union,ols,characteristics,504,rank_ic,0.06937555161264468,0.0028644923982354856,24.219143208541837,1.3984937630811765e-129,0.06376124967811436,0.074989853547175,2266,2266,0,5,c_quadratic,,187,explicit,standard,original,none,fixed504,union,raw,full
li1_ols_c_quadratic_joint_raw_fixed504_union,ols,characteristics,504,ew_spread_bp,35.18012794163985,5.184958243322391,6.7850359232782,1.1605762960335944e-11,25.0177965233839,45.342459359895805,2266,2266,0,5,c_quadratic,,187,explicit,standard,original,none,fixed504,union,raw,full
li1_ols_c_quadratic_joint_raw_fixed504_union,ols,characteristics,504,cap_spread_bp,29.695534957106837,6.247270642417821,4.7533613728016855,2.000622949921931e-06,17.4511094962935,41.939960417920176,2266,2266,0,5,c_quadratic,,187,explicit,standard,original,none,fixed504,union,raw,full
li1_ridge_c_quadratic_joint_raw_fixed504_union,ridge,characteristics,504,rank_ic,0.06909829016418956,0.0029570659489784267,23.36717927716859,9.219452590532011e-121,0.06330254740428208,0.07489403292409703,2266,2266,0,5,c_quadratic,,187,explicit,standard,original,none,fixed504,union,raw,full
li1_ridge_c_quadratic_joint_raw_fixed504_union,ridge,characteristics,504,ew_spread_bp,32.3570367474555,5.403354073434216,5.988324345898418,2.120139432606357e-09,21.766657367806644,42.94741612710436,2266,2266,0,5,c_quadratic,,187,explicit,standard,original,none,fixed504,union,raw,full
li1_ridge_c_quadratic_joint_raw_fixed504_union,ridge,characteristics,504,cap_spread_bp,32.17554653650329,6.752252908880967,4.765157195783364,1.8870647206872199e-06,18.94137402059078,45.4097190524158,2266,2266,0,5,c_quadratic,,187,explicit,standard,original,none,fixed504,union,raw,full
li1_enet_c_quadratic_joint_raw_fixed504_union,enet,characteristics,504,rank_ic,0.0691524508091469,0.0031324137251820716,22.076410358317982,5.327598024130882e-108,0.0630130327231111,0.07529186889518272,2266,2266,0,5,c_quadratic,,187,explicit,standard,original,none,fixed504,union,raw,full
li1_enet_c_quadratic_joint_raw_fixed504_union,enet,characteristics,504,ew_spread_bp,29.129098731037256,5.458487777672672,5.336477778733251,9.476948039786232e-08,18.43065927674674,39.82753818532777,2266,2266,0,5,c_quadratic,,187,explicit,standard,original,none,fixed504,union,raw,full
li1_enet_c_quadratic_joint_raw_fixed504_union,enet,characteristics,504,cap_spread_bp,30.534056933042038,6.473389216907599,4.716857879222108,2.3951487579523665e-06,17.8464472099932,43.221666656090875,2266,2266,0,5,c_quadratic,,187,explicit,standard,original,none,fixed504,union,raw,full
