date,lr_all_rank,core_rank,all_rank,text_rank,textcore_rank,textall_rank
2012,0.012682589608908694,0.004853320261510231,0.014737064025099719,0.01199291426367426,0.009775180929423343,0.012427667317896875
2013,0.007087629817734311,0.011260708682133226,0.010586690460410742,0.025426855613017434,0.024268575353300015,0.024984709709629956
2014,0.020391712795781166,0.021501328986683006,0.020557417608652616,0.03384391914223343,0.031547789398607085,0.03175185970977208
2015,0.024490141304979875,0.02733463023810073,0.026099521922602554,0.0344296604949986,0.03220189400883881,0.03294913259217442
2016,0.03307164200811418,0.03484133631009061,0.03275553511480943,0.03684157811297148,0.03397519659489183,0.03353451700094113
2017,0.03248729000719785,0.03355709241867865,0.03322328604594918,0.03671306224754472,0.040556786295575256,0.040192031193084794
2018,0.029134439211340728,0.033278476354095025,0.030191736598181314,0.04200963894481771,0.042952062939804136,0.04246969236641667
2019,0.03616632646111061,0.03530594095628315,0.036188288510838516,0.04290432334363454,0.04353053964811432,0.04508275193544714
2020,0.03910735288302712,0.039779596017273655,0.04024484890259744,0.04447380777077029,0.04651315081717484,0.04695451559037956
2021,0.04188256808700158,0.049213256766296426,0.04373881252357445,0.047715266956430864,0.04790639760395094,0.045800536874657266
2022,0.04785543329388806,0.04627461657952786,0.047752420525953666,0.05458408077748741,0.056342820798916615,0.05735366346262596
