model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,representation,history_policy,refit_policy,target,year
ld2_ols_characteristics_full_raw_fixed504_retain,ols,characteristics,504,rank_ic,0.07065759478053871,0.010491679286840198,6.734631592214711,1.6434580719260903e-11,0.05009428124098704,0.09122090832009037,252,252,0,5,full,fixed504,retain,raw,2014
ld2_ols_characteristics_full_raw_fixed504_retain,ols,characteristics,504,ew_spread_bp,33.760207087563984,12.835462352327552,2.630229138683266,0.008532733453987766,8.603163152082221,58.91725102304575,252,252,0,5,full,fixed504,retain,raw,2014
ld2_ols_characteristics_full_raw_fixed504_retain,ols,characteristics,504,cap_spread_bp,25.12846567108374,14.799207244718112,1.6979602525704327,0.08951526395370035,-3.8774475283080037,54.13437887047549,252,252,0,5,full,fixed504,retain,raw,2014
ld2_ols_characteristics_full_raw_fixed504_recent,ols,characteristics,504,rank_ic,0.06956675045394013,0.01029063022955311,6.760203107303877,1.3779842790307184e-11,0.04939748582579689,0.08973601508208337,252,252,0,5,full,fixed504,recent,raw,2014
ld2_ols_characteristics_full_raw_fixed504_recent,ols,characteristics,504,ew_spread_bp,34.26024666611208,12.856206798244674,2.664879867270789,0.007701582972047963,9.06254436375352,59.457948968470646,252,252,0,5,full,fixed504,recent,raw,2014
ld2_ols_characteristics_full_raw_fixed504_recent,ols,characteristics,504,cap_spread_bp,18.191643983325516,13.484265184355667,1.3491016184130902,0.17730432851192468,-8.237030135998943,44.620318102649975,252,252,0,5,full,fixed504,recent,raw,2014
ld2_ols_characteristics_full_raw_fixed504_union,ols,characteristics,504,rank_ic,0.07181341964563775,0.010714166132850471,6.702660641545608,2.0465838596513773e-11,0.05081403990087205,0.09281279939040346,252,252,0,5,full,fixed504,union,raw,2014
ld2_ols_characteristics_full_raw_fixed504_union,ols,characteristics,504,ew_spread_bp,35.469041274580434,13.350590767911726,2.6567394575400076,0.007890039469568965,9.302364197140509,61.63571835202036,252,252,0,5,full,fixed504,union,raw,2014
ld2_ols_characteristics_full_raw_fixed504_union,ols,characteristics,504,cap_spread_bp,19.41248819206386,14.893667436998138,1.3034055093670405,0.19243635660047764,-9.778563582169465,48.60353996629719,252,252,0,5,full,fixed504,union,raw,2014
ld2_ols_characteristics_full_raw_select_retain,ols,characteristics,0,rank_ic,0.0721432768495932,0.010088251947346269,7.151216804073832,8.60120166430983e-13,0.05237066636582844,0.09191588733335795,252,252,0,5,full,select,retain,raw,2014
ld2_ols_characteristics_full_raw_select_retain,ols,characteristics,0,ew_spread_bp,35.14298313290977,13.0310552441676,2.6968639511093286,0.006999586120227669,9.602584173789474,60.683382092030065,252,252,0,5,full,select,retain,raw,2014
ld2_ols_characteristics_full_raw_select_retain,ols,characteristics,0,cap_spread_bp,15.582675231901932,12.235645602349287,1.2735474480324933,0.2028238467803425,-8.398749476298564,39.56409994010243,252,252,0,5,full,select,retain,raw,2014
ld2_ols_characteristics_full_raw_select_recent,ols,characteristics,0,rank_ic,0.07144437755407403,0.010420471120693171,6.856156187813659,7.073803647833049e-12,0.05102062945557567,0.09186812565257238,252,252,0,5,full,select,recent,raw,2014
ld2_ols_characteristics_full_raw_select_recent,ols,characteristics,0,ew_spread_bp,37.33396189129778,13.527938694399957,2.75976722948579,0.0057842558630989095,10.819689265208066,63.848234517387496,252,252,0,5,full,select,recent,raw,2014
ld2_ols_characteristics_full_raw_select_recent,ols,characteristics,0,cap_spread_bp,27.127894993473344,13.30206094673179,2.039375334552083,0.04141258217512827,1.0563346177222606,53.199455369224424,252,252,0,5,full,select,recent,raw,2014
ld2_ols_characteristics_full_raw_select_union,ols,characteristics,0,rank_ic,0.07291550053962939,0.010317157747540339,7.067401926369964,1.5786123604671946e-12,0.05269424293163194,0.09313675814762684,252,252,0,5,full,select,union,raw,2014
ld2_ols_characteristics_full_raw_select_union,ols,characteristics,0,ew_spread_bp,36.840082138423114,13.285912589018997,2.7728680202872917,0.005556465101921388,10.800171962198576,62.87999231464765,252,252,0,5,full,select,union,raw,2014
ld2_ols_characteristics_full_raw_select_union,ols,characteristics,0,cap_spread_bp,17.956763491563024,12.46592737254638,1.4404675203795163,0.1497351727545269,-6.4760051925199065,42.389532175645954,252,252,0,5,full,select,union,raw,2014
ld2_ridge_characteristics_full_raw_fixed504_retain,ridge,characteristics,504,rank_ic,0.07189110813297077,0.01097398384686766,6.551049202928331,5.713422868451755e-11,0.05038249502618584,0.0933997212397557,252,252,0,5,full,fixed504,retain,raw,2014
ld2_ridge_characteristics_full_raw_fixed504_retain,ridge,characteristics,504,ew_spread_bp,34.32402524853294,14.18460004396696,2.4198091692498407,0.015528653911320528,6.522720027252433,62.12533046981345,252,252,0,5,full,fixed504,retain,raw,2014
ld2_ridge_characteristics_full_raw_fixed504_retain,ridge,characteristics,504,cap_spread_bp,27.445827135672374,14.315432549270072,1.917219548987488,0.05521004552863658,-0.6119050840093792,55.50355935535413,252,252,0,5,full,fixed504,retain,raw,2014
ld2_ridge_characteristics_full_raw_fixed504_recent,ridge,characteristics,504,rank_ic,0.07106458375896514,0.010763368446779517,6.602448305133345,4.0442232221530556e-11,0.04996876925094247,0.09216039826698781,252,252,0,5,full,fixed504,recent,raw,2014
ld2_ridge_characteristics_full_raw_fixed504_recent,ridge,characteristics,504,ew_spread_bp,32.48084586710863,13.625521226340593,2.383824099463974,0.017133789873992725,5.775314992895034,59.18637674132222,252,252,0,5,full,fixed504,recent,raw,2014
ld2_ridge_characteristics_full_raw_fixed504_recent,ridge,characteristics,504,cap_spread_bp,29.24899951272945,14.026840231158568,2.0852165584489293,0.03704964751627989,1.7568978427611732,56.74110118269773,252,252,0,5,full,fixed504,recent,raw,2014
ld2_ridge_characteristics_full_raw_fixed504_union,ridge,characteristics,504,rank_ic,0.07233505807152182,0.011082246472465983,6.527111470696796,6.705014758427099e-11,0.05061425411769244,0.09405586202535121,252,252,0,5,full,fixed504,union,raw,2014
ld2_ridge_characteristics_full_raw_fixed504_union,ridge,characteristics,504,ew_spread_bp,33.65127400659137,14.110922517205971,2.384767825459967,0.01708990318472181,5.994374084232387,61.30817392895035,252,252,0,5,full,fixed504,union,raw,2014
ld2_ridge_characteristics_full_raw_fixed504_union,ridge,characteristics,504,cap_spread_bp,26.60678506797264,13.906086920247816,1.913319341419627,0.05570718313806288,-0.6486444615965965,53.86221459754188,252,252,0,5,full,fixed504,union,raw,2014
ld2_ridge_characteristics_full_raw_select_retain,ridge,characteristics,0,rank_ic,0.07129247996126326,0.010575485906975424,6.741295916648128,1.5698011852745114e-11,0.05056490846458052,0.09202005145794599,252,252,0,5,full,select,retain,raw,2014
ld2_ridge_characteristics_full_raw_select_retain,ridge,characteristics,0,ew_spread_bp,31.582218863078953,13.658253496987472,2.3123175206877566,0.020760191856400666,4.8125339172652595,58.351903808892644,252,252,0,5,full,select,retain,raw,2014
ld2_ridge_characteristics_full_raw_select_retain,ridge,characteristics,0,cap_spread_bp,27.37194519050429,12.908641729699141,2.1204357331824597,0.03396931591954342,2.0714723109631485,52.67241807004544,252,252,0,5,full,select,retain,raw,2014
ld2_ridge_characteristics_full_raw_select_recent,ridge,characteristics,0,rank_ic,0.0701663606058187,0.01069457313982639,6.5609313890725085,5.3472722174574864e-11,0.04920538242172953,0.09112733878990786,252,252,0,5,full,select,recent,raw,2014
ld2_ridge_characteristics_full_raw_select_recent,ridge,characteristics,0,ew_spread_bp,32.29484848273798,13.575715649329352,2.378868953721299,0.017365848408928092,5.686934745695659,58.90276221978031,252,252,0,5,full,select,recent,raw,2014
ld2_ridge_characteristics_full_raw_select_recent,ridge,characteristics,0,cap_spread_bp,30.617131972642788,13.613020504814413,2.249106431729436,0.02450572545406066,3.9361020624012717,57.2981618828843,252,252,0,5,full,select,recent,raw,2014
ld2_ridge_characteristics_full_raw_select_union,ridge,characteristics,0,rank_ic,0.07158334382261168,0.010709482626598049,6.684108496971407,2.3233463297422495e-11,0.050593143581422084,0.09257354406380128,252,252,0,5,full,select,union,raw,2014
ld2_ridge_characteristics_full_raw_select_union,ridge,characteristics,0,ew_spread_bp,31.54715077908486,13.905102638751922,2.2687463443215856,0.023283755560684422,4.293650405798221,58.8006511523715,252,252,0,5,full,select,union,raw,2014
ld2_ridge_characteristics_full_raw_select_union,ridge,characteristics,0,cap_spread_bp,27.656420646028106,13.077424671643929,2.1148216365563273,0.03444515206755208,2.0251392790704656,53.28770201298575,252,252,0,5,full,select,union,raw,2014
ld2_lasso_characteristics_full_raw_fixed504_retain,lasso,characteristics,504,rank_ic,0.0706134595679186,0.010866055221435732,6.498536785329207,8.110496516660471e-11,0.04931638267988117,0.09191053645595604,252,252,0,5,full,fixed504,retain,raw,2014
ld2_lasso_characteristics_full_raw_fixed504_retain,lasso,characteristics,504,ew_spread_bp,34.86983054786011,13.894762938425773,2.5095664245863514,0.012087947887019645,7.636595614823666,62.10306548089656,252,252,0,5,full,fixed504,retain,raw,2014
ld2_lasso_characteristics_full_raw_fixed504_retain,lasso,characteristics,504,cap_spread_bp,23.535138844592815,15.594318417488964,1.509212407654717,0.1312445104162246,-7.029163617135204,54.099441306320834,252,252,0,5,full,fixed504,retain,raw,2014
ld2_lasso_characteristics_full_raw_fixed504_recent,lasso,characteristics,504,rank_ic,0.06940425871473799,0.010567142123018484,6.567930847031401,5.1019223180805377e-11,0.04869304073410563,0.09011547669537034,252,252,0,5,full,fixed504,recent,raw,2014
ld2_lasso_characteristics_full_raw_fixed504_recent,lasso,characteristics,504,ew_spread_bp,31.20147619643825,13.071639651540075,2.3869596338483943,0.016988356468739554,5.581533260534002,56.8214191323425,252,252,0,5,full,fixed504,recent,raw,2014
ld2_lasso_characteristics_full_raw_fixed504_recent,lasso,characteristics,504,cap_spread_bp,19.25269017536226,13.883025916806986,1.3867790992203424,0.1655091322380493,-7.957540618015596,46.46292096874012,252,252,0,5,full,fixed504,recent,raw,2014
ld2_lasso_characteristics_full_raw_fixed504_union,lasso,characteristics,504,rank_ic,0.07117458958385023,0.01097024006762635,6.487970103214924,8.700053788821712e-11,0.04967331414954433,0.09267586501815613,252,252,0,5,full,fixed504,union,raw,2014
ld2_lasso_characteristics_full_raw_fixed504_union,lasso,characteristics,504,ew_spread_bp,34.51786453317689,14.212108062561123,2.4287645704093053,0.015150366731526142,6.662644586165765,62.37308448018801,252,252,0,5,full,fixed504,union,raw,2014
ld2_lasso_characteristics_full_raw_fixed504_union,lasso,characteristics,504,cap_spread_bp,25.270307272342272,15.253757000194346,1.656661193174921,0.09758799298826086,-4.62650707696438,55.167121621648924,252,252,0,5,full,fixed504,union,raw,2014
ld2_lasso_characteristics_full_raw_select_retain,lasso,characteristics,0,rank_ic,0.07167526338718404,0.010558658753357443,6.788292439548038,1.1346847315552912e-11,0.050980672505554867,0.09236985426881321,252,252,0,5,full,select,retain,raw,2014
ld2_lasso_characteristics_full_raw_select_retain,lasso,characteristics,0,ew_spread_bp,36.89313145157177,12.643705081704566,2.9179050929427413,0.0035239158821656594,12.11192486028476,61.67433804285878,252,252,0,5,full,select,retain,raw,2014
ld2_lasso_characteristics_full_raw_select_retain,lasso,characteristics,0,cap_spread_bp,23.07073275771396,12.349044965675171,1.8682199977277831,0.061731412476568485,-1.1329506184750429,47.27441613390296,252,252,0,5,full,select,retain,raw,2014
ld2_lasso_characteristics_full_raw_select_recent,lasso,characteristics,0,rank_ic,0.07076859171001255,0.010848491079288947,6.523358058994782,6.875047314056809e-11,0.04950593990800216,0.09203124351202295,252,252,0,5,full,select,recent,raw,2014
ld2_lasso_characteristics_full_raw_select_recent,lasso,characteristics,0,ew_spread_bp,32.937604961652966,12.913606170795001,2.5506124723041035,0.010753382085409203,7.627401956360565,58.247807966945366,252,252,0,5,full,select,recent,raw,2014
ld2_lasso_characteristics_full_raw_select_recent,lasso,characteristics,0,cap_spread_bp,20.06509762003221,13.637151856568657,1.4713554436491354,0.14119501647661503,-6.663228870545893,46.79342411061031,252,252,0,5,full,select,recent,raw,2014
ld2_lasso_characteristics_full_raw_select_union,lasso,characteristics,0,rank_ic,0.0715823930622432,0.010798136459060737,6.629143216853708,3.3764087425892016e-11,0.050418434502335296,0.09274635162215111,252,252,0,5,full,select,union,raw,2014
ld2_lasso_characteristics_full_raw_select_union,lasso,characteristics,0,ew_spread_bp,36.473308852430485,13.262076529528542,2.750195926800845,0.005955964084703955,10.480116494340592,62.46650121052038,252,252,0,5,full,select,union,raw,2014
ld2_lasso_characteristics_full_raw_select_union,lasso,characteristics,0,cap_spread_bp,22.63331305241459,14.217019074127595,1.5919872467220029,0.11138757014451588,-5.231532300394484,50.49815840522366,252,252,0,5,full,select,union,raw,2014
ld2_enet_characteristics_full_raw_fixed504_retain,enet,characteristics,504,rank_ic,0.06972428545565108,0.011072185376227672,6.29724693784041,3.029784191385631e-10,0.04802320088809378,0.09142537002320839,252,252,0,5,full,fixed504,retain,raw,2014
ld2_enet_characteristics_full_raw_fixed504_retain,enet,characteristics,504,ew_spread_bp,36.10263320962739,13.939556555880374,2.5899412986991734,0.009599229918039633,8.78160439964266,63.423662019612124,252,252,0,5,full,fixed504,retain,raw,2014
ld2_enet_characteristics_full_raw_fixed504_retain,enet,characteristics,504,cap_spread_bp,23.364962899594506,15.983725118139368,1.4617970921608525,0.14379682119644865,-7.962562670746877,54.69248846993589,252,252,0,5,full,fixed504,retain,raw,2014
ld2_enet_characteristics_full_raw_fixed504_recent,enet,characteristics,504,rank_ic,0.06830310467852826,0.01076096817202399,6.347301059406571,2.1912506019300516e-10,0.047211994622579426,0.0893942147344771,252,252,0,5,full,fixed504,recent,raw,2014
ld2_enet_characteristics_full_raw_fixed504_recent,enet,characteristics,504,ew_spread_bp,31.90412646856437,13.24067869470985,2.409553709758947,0.01597204494063514,5.952873096066252,57.855379841062486,252,252,0,5,full,fixed504,recent,raw,2014
ld2_enet_characteristics_full_raw_fixed504_recent,enet,characteristics,504,cap_spread_bp,21.1496642554574,14.468570720218377,1.461765965998484,0.14380535346031906,-7.208213263941371,49.507541774856165,252,252,0,5,full,fixed504,recent,raw,2014
