model,rank_corr,rank_corr_t,spread_bp,spread_t,D1_bp,D10_bp,n_days
all_rank,0.03056020956713405,20.649716066919403,25.22265348664079,9.167701852919864,-23.192676881823832,2.0299766048169867,2768
textcore_ols_rank,0.037246694546550045,22.745225745682546,22.558052965360663,8.023934373995383,-19.46200786469064,3.0960451006700045,2768
text_ridge_rank,0.037370963991872806,21.34434368036065,13.372427740891284,5.173322704379823,-10.560474611718046,2.8119531291732502,2768
text_ridge_rank_rc,0.03687061752975133,21.431107335384183,13.91447855102709,5.3993542030076656,-10.961277713082866,2.9532008379442156,2768
textcore_ridge_rank,0.03972730290829196,22.564232740438527,22.651308208934584,7.89897185475171,-20.1401085911144,2.5111996178201763,2768
textcore_ridge_rank_rc,0.03934903525756796,21.82648732500737,22.905797117904036,7.956870282228655,-20.042180963317108,2.863616154586926,2768
text_lasso_rank,0.03471125354456524,20.761090074633227,14.950629994265276,5.319186451416305,-13.09501046407583,1.8556195301894682,2768
text_lasso_rank_rc,0.03690988222079383,21.239016786742386,16.6469036445091,6.1835952060458945,-13.663966148615037,2.9829374958940753,2768
textcore_lasso_rank,0.0357518092846129,21.347994618051228,25.270748704919264,8.631579373278042,-23.809626802493202,1.461121902426066,2768
textcore_lasso_rank_rc,0.03819882365391263,21.894374146864127,25.051785315583686,8.854922245099244,-22.75700046209895,2.29478485348472,2768
all_lasso_rank,0.030643573278610652,19.50374667270864,24.08968406979145,8.472831250964456,-22.330898062406416,1.7587860073850528,2768
all_lasso_rank_rc,0.03151271332406636,19.436488931638106,25.252901889958874,8.782727978727406,-22.41452021951834,2.8383816704405196,2768
text_enet_rank,0.036924600093824186,20.83899264184506,13.180217035855511,5.110570651729177,-10.688222739236572,2.491994296618924,2768
text_enet_rank_rc,0.036744109369443785,20.653500691036836,13.240026276601446,5.156794035515168,-10.447049182955912,2.7929770936455287,2768
textcore_enet_rank,0.040117192608070854,21.735688726171453,22.685457048157406,7.477921093117216,-21.962831706898722,0.7226253412587219,2768
textcore_enet_rank_rc,0.03959636341096721,21.44447333545624,22.88445841211231,7.726228418031856,-20.56314673861066,2.3213116735016657,2768
all_enet_rank,0.03175060093219072,19.123431932799523,21.26439119677758,7.406892969983042,-18.98346244137522,2.2809287554023765,2768
all_enet_rank_rc,0.03138179532332263,18.70254528311279,21.93831607986385,7.6590257889975195,-19.472760306526563,2.465555773337311,2768
