family,comparison,model_id,benchmark_id,metric,family_size,observed_family_size,p_bonferroni,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,target,period
refit,union_minus_retain,ld2_ols_characteristics_full_raw_select_union,ld2_ols_characteristics_full_raw_select_retain,rank_ic,114,114,0.653646723491173,0.0005432336034370296,0.00019663627672764357,2.76263165921032,0.005733743188519062,0.00015783358299679658,0.0009286336238772626,2266,2266,0,5,raw,full
refit,union_minus_retain,ld2_ols_characteristics_full_raw_select_union,ld2_ols_characteristics_full_raw_select_retain,rank_ic,114,114,0.5211281110904008,0.0005432336034370296,0.00019156364612817113,2.8357865096886057,0.004571299220091235,0.0001677757562786384,0.0009186914505954207,2266,2266,0,21,raw,full
refit,union_minus_retain,ld2_ols_characteristics_full_raw_select_union,ld2_ols_characteristics_full_raw_select_retain,rank_ic,114,114,0.60571765739428,0.0005432336034370296,0.00019488912016703963,2.7873983061313203,0.005313312784160351,0.00016125794693093318,0.000925209259943126,2266,2266,0,63,raw,full
refit,union_minus_recent,ld2_ols_characteristics_full_raw_select_union,ld2_ols_characteristics_full_raw_select_recent,rank_ic,114,114,1.0,0.00017173098531579918,0.00021441865402608589,0.8009143891692679,0.42318120932742787,-0.0002485218541888834,0.0005919838248204818,2266,2266,0,5,raw,full
refit,union_minus_recent,ld2_ols_characteristics_full_raw_select_union,ld2_ols_characteristics_full_raw_select_recent,rank_ic,114,114,1.0,0.00017173098531579918,0.00020036546355365858,0.8570887530715043,0.3913958363896578,-0.00022097810699504445,0.0005644400776266428,2266,2266,0,21,raw,full
refit,union_minus_recent,ld2_ols_characteristics_full_raw_select_union,ld2_ols_characteristics_full_raw_select_recent,rank_ic,114,114,1.0,0.00017173098531579918,0.0001895997382113751,0.9057553925751999,0.36506533627231974,-0.00019987767305671867,0.000543339643688317,2266,2266,0,63,raw,full
history,selected_minus_fixed504,ld2_ols_characteristics_full_raw_select_union,ld2_ols_characteristics_full_raw_fixed504_union,rank_ic,57,57,1.0,0.0003374534392187222,0.00021826030697467445,1.5461053999978025,0.12207911486768953,-9.032890170629609e-05,0.0007652357801437405,2266,2266,0,5,raw,full
history,selected_minus_fixed504,ld2_ols_characteristics_full_raw_select_union,ld2_ols_characteristics_full_raw_fixed504_union,rank_ic,57,57,1.0,0.0003374534392187222,0.00020822588832039398,1.620612316464165,0.10510080911612867,-7.06618025381095e-05,0.0007455686809755539,2266,2266,0,21,raw,full
history,selected_minus_fixed504,ld2_ols_characteristics_full_raw_select_union,ld2_ols_characteristics_full_raw_fixed504_union,rank_ic,57,57,1.0,0.0003374534392187222,0.00020493620539469368,1.6466267566963535,0.09963478728552026,-6.421414248318052e-05,0.000739121020920625,2266,2266,0,63,raw,full
estimator,versus_ols,ld2_ridge_characteristics_full_raw_fixed504_retain,ld2_ols_characteristics_full_raw_fixed504_retain,rank_ic,90,90,0.1834352814471358,0.0014517544999105394,0.00047064392517291254,3.08461327611351,0.0020381697938570646,0.0005293093570290666,0.002374199642792012,2266,2266,0,5,raw,full
estimator,versus_ols,ld2_ridge_characteristics_full_raw_fixed504_retain,ld2_ols_characteristics_full_raw_fixed504_retain,rank_ic,90,90,0.3330391871992835,0.0014517544999105394,0.0005001514143508875,2.9026300001464014,0.0037004354133253724,0.00047147574096603035,0.0024320332588550486,2266,2266,0,21,raw,full
estimator,versus_ols,ld2_ridge_characteristics_full_raw_fixed504_retain,ld2_ols_characteristics_full_raw_fixed504_retain,rank_ic,90,90,1.0,0.0014517544999105394,0.0005746890757106503,2.526156423132501,0.01153181231432526,0.0003253846092090525,0.0025781243906120264,2266,2266,0,63,raw,full
refit,recent_minus_retain,ld2_ridge_characteristics_full_raw_fixed504_recent,ld2_ridge_characteristics_full_raw_fixed504_retain,rank_ic,114,114,1.0,7.534122497375526e-05,0.00027203762432450256,0.27695148845986023,0.7818173561688138,-0.00045784272114210716,0.0006085251710896177,2266,2266,0,5,raw,full
refit,recent_minus_retain,ld2_ridge_characteristics_full_raw_fixed504_recent,ld2_ridge_characteristics_full_raw_fixed504_retain,rank_ic,114,114,1.0,7.534122497375526e-05,0.00025170232377583814,0.2993266960890393,0.7646907872715566,-0.00041798626445192723,0.0005686687143994378,2266,2266,0,21,raw,full
refit,recent_minus_retain,ld2_ridge_characteristics_full_raw_fixed504_recent,ld2_ridge_characteristics_full_raw_fixed504_retain,rank_ic,114,114,1.0,7.534122497375526e-05,0.0002382271216210228,0.3162579661840931,0.7518067130959581,-0.0003915753535440927,0.0005422578034916032,2266,2266,0,63,raw,full
estimator,versus_ols,ld2_ridge_characteristics_full_raw_fixed504_recent,ld2_ols_characteristics_full_raw_fixed504_recent,rank_ic,90,90,1.0,0.001090853527229587,0.0004519613539929979,2.4135991221198245,0.015795830741810284,0.00020502555099935287,0.001976681503459821,2266,2266,0,5,raw,full
estimator,versus_ols,ld2_ridge_characteristics_full_raw_fixed504_recent,ld2_ols_characteristics_full_raw_fixed504_recent,rank_ic,90,90,1.0,0.001090853527229587,0.0004897671202672888,2.2272902407867994,0.025927882348670078,0.00013092761069380388,0.00205077944376537,2266,2266,0,21,raw,full
estimator,versus_ols,ld2_ridge_characteristics_full_raw_fixed504_recent,ld2_ols_characteristics_full_raw_fixed504_recent,rank_ic,90,90,1.0,0.001090853527229587,0.0005464390076502291,1.9962951252701069,0.0459018083490945,1.98527524873308e-05,0.002161854301971843,2266,2266,0,63,raw,full
refit,union_minus_retain,ld2_ridge_characteristics_full_raw_fixed504_union,ld2_ridge_characteristics_full_raw_fixed504_retain,rank_ic,114,114,1.0,0.0004151167306823572,0.00019155034286868537,2.1671416739093736,0.030224053122086703,3.9684957433435114e-05,0.0007905485039312794,2266,2266,0,5,raw,full
refit,union_minus_retain,ld2_ridge_characteristics_full_raw_fixed504_union,ld2_ridge_characteristics_full_raw_fixed504_retain,rank_ic,114,114,1.0,0.0004151167306823572,0.00017853431018622655,2.3251370016741038,0.020064635662927124,6.519591271265067e-05,0.0007650375486520638,2266,2266,0,21,raw,full
refit,union_minus_retain,ld2_ridge_characteristics_full_raw_fixed504_union,ld2_ridge_characteristics_full_raw_fixed504_retain,rank_ic,114,114,1.0,0.0004151167306823572,0.00017858928152436276,2.324421304229996,0.020102924837190426,6.508817086972173e-05,0.0007651452904949927,2266,2266,0,63,raw,full
refit,union_minus_recent,ld2_ridge_characteristics_full_raw_fixed504_union,ld2_ridge_characteristics_full_raw_fixed504_recent,rank_ic,114,114,1.0,0.00033977550570860195,0.00017961111087194076,1.8917287692232765,0.058527128141520716,-1.2255802823632467e-05,0.0006918068142408363,2266,2266,0,5,raw,full
refit,union_minus_recent,ld2_ridge_characteristics_full_raw_fixed504_union,ld2_ridge_characteristics_full_raw_fixed504_recent,rank_ic,114,114,1.0,0.00033977550570860195,0.00018861166027971067,1.8014554625345838,0.07163112109143144,-2.9896555503934803e-05,0.0007094475669211387,2266,2266,0,21,raw,full
refit,union_minus_recent,ld2_ridge_characteristics_full_raw_fixed504_union,ld2_ridge_characteristics_full_raw_fixed504_recent,rank_ic,114,114,1.0,0.00033977550570860195,0.00019623069168889814,1.731510513387366,0.08336075139395761,-4.48295826630217e-05,0.0007243805940802256,2266,2266,0,63,raw,full
estimator,versus_ols,ld2_ridge_characteristics_full_raw_fixed504_union,ld2_ols_characteristics_full_raw_fixed504_union,rank_ic,90,90,1.0,0.0010056155372208744,0.000438638813242963,2.292582203991742,0.02187206990357104,0.00014589926104327598,0.0018653318133984727,2266,2266,0,5,raw,full
estimator,versus_ols,ld2_ridge_characteristics_full_raw_fixed504_union,ld2_ols_characteristics_full_raw_fixed504_union,rank_ic,90,90,1.0,0.0010056155372208744,0.000480824891463467,2.091438182744915,0.03648880241397815,6.321606708209861e-05,0.0019480150073596502,2266,2266,0,21,raw,full
estimator,versus_ols,ld2_ridge_characteristics_full_raw_fixed504_union,ld2_ols_characteristics_full_raw_fixed504_union,rank_ic,90,90,1.0,0.0010056155372208744,0.0005463552337735491,1.8405891900683748,0.06568178306489875,-6.52210437402437e-05,0.0020764521181819923,2266,2266,0,63,raw,full
