model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,representation,transform,penalty_grid,pca_grid,history_policy,refit_policy,target,year
ld3_enet_characteristics_full_raw_standard_expanded_none_fixed504_union,enet,characteristics,504,cap_spread_bp,22.120869503719224,15.905493223563447,1.3907691633823658,0.16429543680655845,-9.05332437081102,53.295063378249466,252,252,0,5,full,standard,expanded,none,fixed504,union,raw,2014
ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,ols,characteristics_core,504,rank_ic,0.07260203878188241,0.010622295481017,6.834872830606982,8.207780592616944e-12,0.05178272220594653,0.0934213553578183,252,252,0,5,full,standard,original,none,fixed504,union,raw,2014
ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,ols,characteristics_core,504,ew_spread_bp,37.701377083451284,13.300357660374084,2.834613778528336,0.004588111671288795,11.633155087616665,63.7695990792859,252,252,0,5,full,standard,original,none,fixed504,union,raw,2014
ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,ols,characteristics_core,504,cap_spread_bp,23.658758418659083,14.365856275145742,1.646874224935058,0.09958390080358062,-4.497802487705304,51.81531932502347,252,252,0,5,full,standard,original,none,fixed504,union,raw,2014
ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,ols,characteristics,504,rank_ic,0.06382927959288524,0.011844381597052811,5.388992162222097,7.085389550877652e-08,0.04061471824351273,0.08704384094225776,252,252,0,5,full,standard,original,none,fixed504,union,raw,2015
ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,ols,characteristics,504,ew_spread_bp,21.384953663293217,17.4736373857047,1.2238409892143232,0.2210122182576536,-12.862746291600615,55.63265361818705,252,252,0,5,full,standard,original,none,fixed504,union,raw,2015
ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,ols,characteristics,504,cap_spread_bp,13.453798680438457,16.968772796405936,0.7928563156487093,0.42786154128311304,-19.804384862360198,46.711982223237115,252,252,0,5,full,standard,original,none,fixed504,union,raw,2015
ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ridge,characteristics,504,rank_ic,0.06386499588693939,0.012015053870308061,5.3154148600835125,1.0641459787022411e-07,0.04031592302882701,0.08741406874505178,252,252,0,5,full,standard,original,none,fixed504,union,raw,2015
ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ridge,characteristics,504,ew_spread_bp,27.069844693894982,17.48131055560785,1.5485020192156713,0.12150147595198196,-7.192894397656286,61.332583785446246,252,252,0,5,full,standard,original,none,fixed504,union,raw,2015
ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ridge,characteristics,504,cap_spread_bp,17.710710439105696,18.09722375916006,0.9786423970218788,0.32775670303919524,-17.759196349010587,53.18061722722198,252,252,0,5,full,standard,original,none,fixed504,union,raw,2015
ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ridge,characteristics,504,rank_ic,0.06351655231101833,0.012011530218805981,5.287965076387432,1.2368458455684466e-07,0.03997438568294409,0.08705871893909256,252,252,0,5,full,standard,expanded,none,fixed504,union,raw,2015
ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ridge,characteristics,504,ew_spread_bp,27.461570755563343,17.621681878388028,1.5583966924997874,0.11913924020287756,-7.07629107309932,61.99943258422601,252,252,0,5,full,standard,expanded,none,fixed504,union,raw,2015
ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ridge,characteristics,504,cap_spread_bp,21.866209356060956,17.853992978136674,1.2247237569118288,0.22067931994304368,-13.126973861317943,56.859392573439855,252,252,0,5,full,standard,expanded,none,fixed504,union,raw,2015
ld3_lasso_characteristics_full_raw_standard_original_none_fixed504_union,lasso,characteristics,504,rank_ic,0.06389444586425046,0.012070374232347207,5.293493361044327,1.2000160044814663e-07,0.04023694708892963,0.08755194463957128,252,252,0,5,full,standard,original,none,fixed504,union,raw,2015
ld3_lasso_characteristics_full_raw_standard_original_none_fixed504_union,lasso,characteristics,504,ew_spread_bp,22.236713733201338,17.476199907682968,1.272399826659429,0.20323109564057673,-12.016008672479497,56.48943613888217,252,252,0,5,full,standard,original,none,fixed504,union,raw,2015
ld3_lasso_characteristics_full_raw_standard_original_none_fixed504_union,lasso,characteristics,504,cap_spread_bp,14.842130096824176,17.847809567973446,0.8315939297927777,0.4056381895803062,-20.138933859333157,49.82319405298151,252,252,0,5,full,standard,original,none,fixed504,union,raw,2015
ld3_lasso_characteristics_full_raw_standard_expanded_none_fixed504_union,lasso,characteristics,504,rank_ic,0.06401433903938561,0.01205122957317673,5.311851263863302,1.0851715790535989e-07,0.040394363106535214,0.087634314972236,252,252,0,5,full,standard,expanded,none,fixed504,union,raw,2015
ld3_lasso_characteristics_full_raw_standard_expanded_none_fixed504_union,lasso,characteristics,504,ew_spread_bp,23.41469998394523,17.571389757703304,1.3325468450029807,0.1826805587596132,-11.02459109946923,57.853991067359686,252,252,0,5,full,standard,expanded,none,fixed504,union,raw,2015
ld3_lasso_characteristics_full_raw_standard_expanded_none_fixed504_union,lasso,characteristics,504,cap_spread_bp,16.56243059024424,17.769535791235715,0.9320688387601638,0.35130095084501856,-18.265219582573216,51.3900807630617,252,252,0,5,full,standard,expanded,none,fixed504,union,raw,2015
ld3_enet_characteristics_full_raw_standard_original_none_fixed504_union,enet,characteristics,504,rank_ic,0.06388438188086727,0.012070750627478722,5.292494547558317,1.2065906831338695e-07,0.040226145384644724,0.08754261837708982,252,252,0,5,full,standard,original,none,fixed504,union,raw,2015
ld3_enet_characteristics_full_raw_standard_original_none_fixed504_union,enet,characteristics,504,ew_spread_bp,22.591383538840386,17.517627310782714,1.2896371830524445,0.19717665925553696,-11.742535084888974,56.92530216256975,252,252,0,5,full,standard,original,none,fixed504,union,raw,2015
ld3_enet_characteristics_full_raw_standard_original_none_fixed504_union,enet,characteristics,504,cap_spread_bp,15.306080126083241,17.84998889327298,0.8574840140013507,0.39117744587701797,-19.679255229171776,50.29141548133826,252,252,0,5,full,standard,original,none,fixed504,union,raw,2015
