date,lr_all_rank_dgtw,core_rank_dgtw,text_ols_rank_dgtw,textcore_ols_rank_dgtw,textcore_ridge_rank_dgtw_rc,textcore_lasso_rank_dgtw_rc,textcore_enet_rank_dgtw_rc
2012,0.0020401999462129165,-0.008924999976769658,0.015106843342473794,0.016196840908490072,0.013638989863796878,0.013717772235184262,0.013606497394352303
2013,0.011602668812240233,0.011802562540720445,0.02482206947260339,0.0252555334722654,0.02599779435971694,0.024864034562431723,0.027399352729359953
2014,0.02291542284594228,0.024871940634574555,0.03111807633591869,0.03170662989013242,0.034194729176599055,0.032372933846476735,0.0335813736908873
2015,0.023281541388036137,0.024528994500624565,0.024066017261799622,0.02449145808035109,0.026535310872419542,0.02689800852216025,0.02652557962638237
2016,0.030102614019804082,0.03362166635457962,0.033088863115164194,0.0343599615846936,0.0408991428767353,0.04014861126666287,0.04056024551172879
2017,0.029750849692552882,0.03214233468958629,0.032953448615370355,0.03580682438717331,0.03645992451765961,0.03563675040894594,0.036741855021652246
2018,0.027890378519539502,0.032677023198940815,0.036465497390863674,0.0380251220242718,0.04062578741105952,0.03845093802842569,0.04048877951332875
2019,0.034354708462977016,0.03233904302046036,0.03715849757084012,0.03743579667316159,0.03941782631994573,0.036830013118810685,0.039336041956531835
2020,0.03771972919292958,0.039563047390543234,0.04536424420253776,0.04696237202130872,0.04917673627433027,0.0477924033473813,0.049214479162124986
2021,0.038981319388798265,0.04656789979371409,0.04534775791069385,0.04682440250474212,0.05075755317418857,0.04717698285806008,0.051369453203520085
2022,0.035060151681228426,0.034789743263630706,0.0356146133628837,0.03740502376722607,0.03996183425385942,0.038312481547273264,0.03906301574239758
