date,core_rank,all_ols,textcore_ols,textcore_ridge_rc,textcore_enet_rc,textcore_lasso_rc
2012,-0.008924999976769734,0.004387273472232207,0.016196840908490006,0.013638989863796778,0.013606497394352218,0.013717772235184169
2013,0.011802562540720407,0.015075195765571463,0.025255533472265338,0.025997794359716914,0.027399352729359908,0.024864034562431702
2014,0.024871940634574596,0.0203652521723601,0.03170662989013243,0.03419472917659908,0.03358137369088731,0.032372933846476756
2015,0.024528994500624547,0.021838029477580935,0.024491458080351053,0.026535310872419487,0.026525579626382346,0.02689800852216021
2016,0.03362166635457961,0.03012303133427228,0.034359961584693635,0.040899142876735316,0.04056024551172881,0.04014861126666288
2017,0.03214233468958625,0.02997629070487848,0.03580682438717326,0.036459924517659566,0.03674185502165221,0.03563675040894593
2018,0.032677023198940766,0.029046346150269468,0.038025122024271746,0.04062578741105948,0.04048877951332872,0.038450938028425675
2019,0.03233904302046034,0.03400604058197895,0.03743579667316156,0.03941782631994572,0.039336041956531814,0.03683001311881064
2020,0.03956304739054327,0.03835756946537365,0.04696237202130875,0.04917673627433031,0.049214479162124986,0.04779240334738129
2021,0.04656789979371417,0.04106717114785092,0.04682440250474217,0.05075755317418862,0.05136945320352014,0.047176982858060136
2022,0.034789743263630754,0.03458353124244179,0.0374050237672261,0.039961834253859435,0.039063015742397615,0.03831248154727328
