model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,representation,transform,penalty_grid,pca_grid,history_policy,refit_policy,target,subgroup,stock_days
ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,ols,characteristics_core,504,rank_ic,0.0909216994233173,0.0024105434774262563,37.71834039699406,0.0,0.0861971210243939,0.09564627782224071,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,size_tercile_1,1010848
ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,ols,characteristics_core,504,ew_spread_bp,68.5763939449623,7.581895036722752,9.044756437910833,1.4999919076579797e-19,53.71615273842272,83.43663515150189,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,size_tercile_1,1010848
ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,ols,characteristics_core,504,cap_spread_bp,59.28480581550018,8.488948981920087,6.983762765186362,2.8737718161749466e-12,42.64677154433885,75.92284008666151,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,size_tercile_1,1010848
ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,ols,characteristics,504,rank_ic,0.032809123148741334,0.0034527901335519944,9.50220600722974,2.0549017336351248e-21,0.02604177884080418,0.039576467456678484,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,size_tercile_2,1011055
ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,ols,characteristics,504,ew_spread_bp,13.788209859300313,5.113026844097446,2.696682470035851,0.007003401602804194,3.7668613928828254,23.809558325717802,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,size_tercile_2,1011055
ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,ols,characteristics,504,cap_spread_bp,13.189720176265748,5.119133628455379,2.576553208720505,0.009979084542441567,3.1564026324453582,23.22303772008614,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,size_tercile_2,1011055
ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ridge,characteristics,504,rank_ic,0.033488751590255834,0.003523588382649276,9.504161086226732,2.0166690148003718e-21,0.026582645263919513,0.040394857916592156,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,size_tercile_2,1011055
ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ridge,characteristics,504,ew_spread_bp,16.249706810205566,5.350260997496515,3.0371802081821992,0.0023880264314438747,5.763387947223052,26.73602567318808,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,size_tercile_2,1011055
ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ridge,characteristics,504,cap_spread_bp,16.144189439205846,5.373407175326413,3.0044604684596883,0.0026605233021909864,5.6125049012969725,26.67587397711472,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,size_tercile_2,1011055
ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ridge,characteristics,504,rank_ic,0.033222743768086066,0.0035247582608760246,9.425538238139788,4.2790523605687e-21,0.02631434452255902,0.04013114301361311,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,size_tercile_2,1011055
