date,lr_2_rank_dgtw,core_rank_dgtw,text_rank_dgtw,textcore_rank_dgtw,lr_2_rank,text_rank,lr_2_dgtw,ridge_text_dm_dgtw,lr_2
2012,-0.014428516482850665,-0.008924999976769658,0.015106843342473794,0.016196840908490072,-0.006452781107603807,0.014686198136733972,-0.009651383002282306,0.004953826216723585,-0.005679066613351573
2013,0.010489027763476627,0.011802562540720445,0.02482206947260339,0.0252555334722654,0.009761541074444978,0.026194999333398337,0.008224875940293088,0.015295701273972813,0.008452130419777786
2014,0.025040874551918703,0.024871940634574555,0.03111807633591869,0.03170662989013242,0.02506161766120305,0.0326804789458213,0.024194510711838146,0.014922170156100882,0.025832116598299756
2015,0.024159690257065262,0.024528994500624565,0.024066017261799622,0.02449145808035109,0.02405900875736945,0.0266767854772128,0.022665441324941592,0.015785181907578844,0.022582888067804698
2016,0.03131294618991513,0.03362166635457962,0.033088863115164194,0.0343599615846936,0.030784077453726976,0.03710288305290198,0.026181721165231146,0.023521835877359835,0.02775296277205432
2017,0.03247079318206261,0.03214233468958629,0.032953448615370355,0.03580682438717331,0.03249582704880457,0.03213780288714502,0.031297934997219515,0.011718526393143034,0.03215196695294178
2018,0.03025558273756467,0.032677023198940815,0.036465497390863674,0.0380251220242718,0.029900727393181857,0.037696295704930896,0.025135822078407706,0.018423920779319484,0.0251180501570593
2019,0.03226516239136473,0.03233904302046036,0.03715849757084012,0.03743579667316159,0.032314223758132844,0.03788536235874604,0.029050763703312246,0.018082198707590633,0.0278096340753239
2020,0.03833033678770142,0.039563047390543234,0.04536424420253776,0.04696237202130872,0.03798320969808923,0.044402437030572194,0.02698569858805266,-0.005021513369139854,0.010247182615393199
2021,0.04621498179172511,0.04656789979371409,0.04534775791069385,0.04682440250474212,0.04585232502587753,0.04470789330595333,0.03205674425667302,-0.002696191413362043,0.017805825286942006
2022,0.03510183237568028,0.034789743263630706,0.0356146133628837,0.03740502376722607,0.035245656569146154,0.038282461495522904,0.03305043927154652,0.022465732262487416,0.03407985023962217
