model,rank_corr,rank_corr_t,spread_bp,spread_t,D1_bp,D10_bp,n_days
lr_all_rank,0.029495036355448697,19.655843133890038,24.397694134135097,8.779142595952372,-22.796226868596612,1.6014672655384472,2768
core_rank,0.03066887256862407,17.959229308937225,21.995072310833535,7.689022491790507,-22.37573866843244,-0.38066635759894296,2768
all_rank,0.03056020956713405,20.649716066919403,25.22265348664079,9.167701852919864,-23.192676881823832,2.0299766048169867,2768
text_rank,0.037370963991872806,21.34434368036065,13.372427740891284,5.173322704379823,-10.560474611718046,2.8119531291732502,2768
textcore_rank,0.037246694546550045,22.745225745682546,22.558052965360663,8.023934373995383,-19.46200786469064,3.0960451006700045,2768
textall_rank,0.037602729547577665,23.93620816788009,23.681396680115583,8.441935907401087,-21.250109545731124,2.431287134384463,2768
