family,comparison,model_id,benchmark_id,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,metric,family_size,observed_family_size,p_bonferroni,target,period
estimator,versus_ols,ld3_enet_characteristics_full_raw_standard_original_none_fixed504_union,ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,0.0002888445990365068,0.000438994403187226,0.6579687507162088,0.5105582113370946,-0.0005715686206251118,0.0011492578186981252,2266,2266,0,5,rank_ic,76,76,1.0,raw,full
estimator,versus_ols,ld3_enet_characteristics_full_raw_standard_original_none_fixed504_union,ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,0.0002888445990365068,0.0004679629331581029,0.6172382010840154,0.5370776220586491,-0.0006283458960530995,0.0012060350941261132,2266,2266,0,21,rank_ic,76,76,1.0,raw,full
estimator,versus_ols,ld3_enet_characteristics_full_raw_standard_original_none_fixed504_union,ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,0.0002888445990365068,0.00045711723987490834,0.6318829697071807,0.5274633524188888,-0.0006070887278306703,0.0011847779259036837,2266,2266,0,63,rank_ic,76,76,1.0,raw,full
penalty_expansion,expanded_minus_original_penalties,ld3_enet_characteristics_full_raw_standard_expanded_none_fixed504_union,ld3_enet_characteristics_full_raw_standard_original_none_fixed504_union,-0.000266199101544472,0.0002146987851766619,-1.239872416257194,0.21502258786304007,-0.0006870009880152314,0.00015460278492628737,2266,2266,0,5,rank_ic,38,38,1.0,raw,full
penalty_expansion,expanded_minus_original_penalties,ld3_enet_characteristics_full_raw_standard_expanded_none_fixed504_union,ld3_enet_characteristics_full_raw_standard_original_none_fixed504_union,-0.000266199101544472,0.00021066658823772319,-1.2636038005423247,0.20637226880402026,-0.0006790980272363388,0.00014669982414739483,2266,2266,0,21,rank_ic,38,38,1.0,raw,full
penalty_expansion,expanded_minus_original_penalties,ld3_enet_characteristics_full_raw_standard_expanded_none_fixed504_union,ld3_enet_characteristics_full_raw_standard_original_none_fixed504_union,-0.000266199101544472,0.0002521152843826083,-1.0558626074430704,0.29103098976783615,-0.0007603359788864578,0.0002279377757975138,2266,2266,0,63,rank_ic,38,38,1.0,raw,full
estimator,versus_ols,ld3_enet_characteristics_full_raw_standard_expanded_none_fixed504_union,ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,2.2645497492034833e-05,0.0004952780637599747,0.045722795231669014,0.9635311948397357,-0.0009480816698102481,0.0009933726647943179,2266,2266,0,5,rank_ic,76,76,1.0,raw,full
estimator,versus_ols,ld3_enet_characteristics_full_raw_standard_expanded_none_fixed504_union,ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,2.2645497492034833e-05,0.0005342977765260588,0.04238366410444975,0.9661928508032126,-0.0010245589015188707,0.0010698498965029406,2266,2266,0,21,rank_ic,76,76,1.0,raw,full
estimator,versus_ols,ld3_enet_characteristics_full_raw_standard_expanded_none_fixed504_union,ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,2.2645497492034833e-05,0.0005859437948865111,0.03864790051479415,0.9691711117100956,-0.0011257832374502515,0.0011710742324343214,2266,2266,0,63,rank_ic,76,76,1.0,raw,full
incremental_social,core_given_characteristics,ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,0.0009884969682053344,0.00020373337914281837,4.851914656127074,1.222752421692651e-06,0.0005891868826367666,0.0013878070537739022,2266,2266,0,5,rank_ic,72,72,8.803817436187088e-05,raw,full
