family,comparison,model_id,benchmark_id,metric,family_size,observed_family_size,p_bonferroni,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,target,period
incremental_social,text_given_characteristics_core,ols_characteristics_textcore_raw_fit504_val126,ols_characteristics_core_raw_fit504_val126,rank_ic,144,144,5.060839006871599e-10,-0.0057171758954915495,0.0008219710841866659,-6.955446493776178,3.5144715325497212e-12,-0.007328209616830755,-0.004106142174152344,2266,2266,0,5,raw,full
incremental_social,text_given_characteristics_core,ols_characteristics_textcore_raw_fit504_val126,ols_characteristics_core_raw_fit504_val126,rank_ic,144,144,7.987818023377486e-08,-0.0057171758954915495,0.0009217104255638018,-6.202789658144971,5.547095849567698e-10,-0.007523695133771688,-0.003910656657211411,2266,2266,0,21,raw,full
incremental_social,text_given_characteristics_core,ols_characteristics_textcore_raw_fit504_val126,ols_characteristics_core_raw_fit504_val126,rank_ic,144,144,0.000337684849719869,-0.0057171758954915495,0.0012109684676317308,-4.721160004002852,2.3450336786102012e-06,-0.0080906304784634,-0.003343721312519699,2266,2266,0,63,raw,full
incremental_social,text_given_characteristics_all,ols_characteristics_textall_raw_fit504_val126,ols_characteristics_all_raw_fit504_val126,rank_ic,144,144,1.363798090026648e-10,-0.0050374460776290795,0.0007057237156004223,-7.1379861074149575,9.4708200696295e-13,-0.006420639143241695,-0.003654253012016464,2266,2266,0,5,raw,full
incremental_social,text_given_characteristics_all,ols_characteristics_textall_raw_fit504_val126,ols_characteristics_all_raw_fit504_val126,rank_ic,144,144,2.3702972579484343e-09,-0.0050374460776290795,0.0007480166864952245,-6.734403347646763,1.6460397624641905e-11,-0.006503531842994709,-0.0035713603122634508,2266,2266,0,21,raw,full
incremental_social,text_given_characteristics_all,ols_characteristics_textall_raw_fit504_val126,ols_characteristics_all_raw_fit504_val126,rank_ic,144,144,1.4285042663527474e-05,-0.0050374460776290795,0.0009454346327874302,-5.328180186055961,9.920168516338523e-08,-0.006890463907629294,-0.003184428247628865,2266,2266,0,63,raw,full
incremental_social,engineered_given_characteristics_textcore,ols_characteristics_textall_raw_fit504_val126,ols_characteristics_textcore_raw_fit504_val126,rank_ic,144,144,1.0,-0.0003148695838416501,0.00023365387741258715,-1.3475898081744728,0.1777903504141941,-0.0007728227684184578,0.00014308360073515754,2266,2266,0,5,raw,full
incremental_social,engineered_given_characteristics_textcore,ols_characteristics_textall_raw_fit504_val126,ols_characteristics_textcore_raw_fit504_val126,rank_ic,144,144,1.0,-0.0003148695838416501,0.0002520531755592773,-1.2492188727358438,0.2115850310171763,-0.000808884730126785,0.00017914556244348482,2266,2266,0,21,raw,full
incremental_social,engineered_given_characteristics_textcore,ols_characteristics_textall_raw_fit504_val126,ols_characteristics_textcore_raw_fit504_val126,rank_ic,144,144,1.0,-0.0003148695838416501,0.0002897629140447547,-1.0866455594556093,0.2771934821544364,-0.0008827944594247448,0.00025305529174144456,2266,2266,0,63,raw,full
incremental_social,all_given_characteristics,ols_characteristics_all_raw_fit504_val126,ols_characteristics_raw_fit504_val126,rank_ic,144,144,1.0,-3.44672704687842e-05,0.00045722036181440335,-0.07538437337306357,0.9399088920712629,-0.0009306027126233874,0.0008616681716858189,2266,2266,0,5,raw,full
